Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0186,0.0071,0.0395,0.0110,0.0063,0.0429,0.1020,0.1690,0.0434,0.0160,0.0052,0.0067
1,WEEKDAY,1,0.0198,0.0062,0.0414,0.0110,0.0064,0.0429,0.1020,0.1696,0.0434,0.0160,0.0052,0.0067
1,WEEKDAY,2,0.0199,0.0061,0.0461,0.0110,0.0072,0.0429,0.1020,0.1697,0.0434,0.0160,0.0052,0.0067
1,WEEKDAY,3,0.0199,0.0059,0.0495,0.0110,0.0098,0.0429,0.1020,0.1707,0.0435,0.0160,0.0055,0.0067
1,WEEKDAY,4,0.0253,0.0057,0.1286,0.0117,0.0153,0.0431,0.1020,0.1781,0.0444,0.0162,0.0074,0.0067
1,WEEKDAY,5,0.0264,0.0060,0.1314,0.0160,0.0230,0.0444,0.1020,0.2115,0.0492,0.0172,0.0108,0.0070
1,WEEKDAY,6,0.0464,0.0968,0.1784,0.0277,0.0343,0.0455,0.0606,0.3473,0.0649,0.0202,0.0145,0.0077
1,WEEKDAY,7,0.1972,0.1938,0.3851,0.0507,0.0448,0.0469,0.0000,0.5821,0.0983,0.0323,0.0182,0.0084
1,WEEKDAY,8,0.1821,0.1004,0.4237,0.0805,0.0541,0.0485,0.0000,0.7395,0.1482,0.0423,0.0212,0.0088
1,WEEKDAY,9,0.1251,0.1292,0.4212,0.0956,0.0606,0.0505,0.0000,0.7819,0.1923,0.0520,0.0231,0.0089
1,WEEKDAY,10,0.0981,0.2166,0.4283,0.0923,0.0608,0.0512,0.0000,0.7950,0.2024,0.0572,0.0235,0.0089
1,WEEKDAY,11,0.0862,0.3058,0.4303,0.0960,0.0600,0.0517,0.0000,0.7969,0.2006,0.0539,0.0232,0.0089
1,WEEKDAY,12,0.0826,0.3626,0.4317,0.0986,0.0582,0.0524,0.0000,0.7720,0.1976,0.0511,0.0218,0.0089
1,WEEKDAY,13,0.0795,0.3846,0.4332,0.0909,0.0523,0.0520,0.0000,0.7603,0.1805,0.0459,0.0205,0.0087
1,WEEKDAY,14,0.0799,0.3650,0.4330,0.0777,0.0444,0.0519,0.0000,0.7183,0.1414,0.0387,0.0193,0.0082
1,WEEKDAY,15,0.0897,0.3070,0.3500,0.0606,0.0348,0.0508,0.0000,0.6194,0.1020,0.0375,0.0180,0.0079
1,WEEKDAY,16,0.1039,0.2041,0.2341,0.0449,0.0228,0.0485,0.0000,0.5292,0.0721,0.0324,0.0155,0.0075
1,WEEKDAY,17,0.0963,0.0690,0.1195,0.0336,0.0140,0.0469,0.0590,0.4587,0.0560,0.0283,0.0113,0.0073
1,WEEKDAY,18,0.0665,0.0546,0.1063,0.0245,0.0091,0.0454,0.1003,0.4042,0.0489,0.0259,0.0076,0.0068
1,WEEKDAY,19,0.0598,0.0182,0.0184,0.0176,0.0070,0.0449,0.1146,0.3265,0.0457,0.0247,0.0055,0.0067
1,WEEKDAY,20,0.0616,0.0166,0.0186,0.0136,0.0065,0.0447,0.1146,0.2648,0.0440,0.0242,0.0052,0.0067
1,WEEKDAY,21,0.0155,0.0364,0.0194,0.0116,0.0063,0.0439,0.1146,0.2283,0.0435,0.0160,0.0052,0.0067
1,WEEKDAY,22,0.0160,0.0049,0.0170,0.0111,0.0063,0.0437,0.1146,0.2088,0.0434,0.0160,0.0052,0.0067
1,WEEKDAY,23,0.0168,0.0043,0.0227,0.0110,0.0063,0.0429,0.1146,0.1761,0.0434,0.0160,0.0052,0.0067
1,SATURDAY,0,0.0116,0.0054,0.0166,0.0110,0.0063,0.0429,0.1020,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,1,0.0116,0.0054,0.0112,0.0110,0.0063,0.0429,0.1020,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,2,0.0140,0.0040,0.0257,0.0110,0.0063,0.0429,0.1020,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,3,0.0164,0.0027,0.0269,0.0110,0.0063,0.0428,0.1020,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,4,0.0164,0.0027,0.0323,0.0110,0.0063,0.0428,0.1020,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,5,0.0187,0.0013,0.0246,0.0110,0.0063,0.0435,0.1020,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,6,0.0164,0.0036,0.0387,0.0110,0.0063,0.0434,0.0606,0.1618,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,7,0.0164,0.0039,0.0305,0.0110,0.0063,0.0432,0.0000,0.1658,0.0415,0.0151,0.0053,0.0067
1,SATURDAY,8,0.0187,0.0918,0.0570,0.0110,0.0063,0.0431,0.0000,0.1762,0.0435,0.0157,0.0057,0.0067
1,SATURDAY,9,0.0185,0.0746,0.0488,0.0110,0.0063,0.0440,0.0000,0.1925,0.0493,0.0168,0.0064,0.0067
1,SATURDAY,10,0.0148,0.0766,0.0403,0.0110,0.0063,0.0444,0.0000,0.2105,0.0569,0.0183,0.0074,0.0067
1,SATURDAY,11,0.0212,0.0861,0.0428,0.0110,0.0063,0.0448,0.0000,0.2116,0.0580,0.0186,0.0074,0.0067
1,SATURDAY,12,0.0330,0.0943,0.0398,0.0110,0.0063,0.0457,0.0000,0.2074,0.0563,0.0182,0.0071,0.0067
1,SATURDAY,13,0.0194,0.0857,0.0363,0.0110,0.0063,0.0457,0.0000,0.1997,0.0521,0.0174,0.0066,0.0067
1,SATURDAY,14,0.0257,0.0172,0.0133,0.0110,0.0063,0.0464,0.0000,0.1883,0.0472,0.0166,0.0061,0.0067
1,SATURDAY,15,0.0187,0.0072,0.0082,0.0110,0.0063,0.0464,0.0000,0.1755,0.0433,0.0157,0.0056,0.0067
1,SATURDAY,16,0.0233,0.0085,0.0113,0.0110,0.0063,0.0456,0.0000,0.1656,0.0413,0.0151,0.0052,0.0067
1,SATURDAY,17,0.0253,0.0038,0.0174,0.0110,0.0063,0.0454,0.0590,0.1616,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,18,0.0187,0.0026,0.0171,0.0110,0.0063,0.0446,0.1003,0.1616,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,19,0.0187,0.0029,0.0254,0.0110,0.0063,0.0446,0.1146,0.1616,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,20,0.0187,0.0030,0.0252,0.0110,0.0063,0.0446,0.1146,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,21,0.0187,0.0032,0.0189,0.0110,0.0063,0.0438,0.1146,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,22,0.0187,0.0032,0.0356,0.0110,0.0063,0.0437,0.1146,0.1615,0.0411,0.0149,0.0052,0.0067
1,SATURDAY,23,0.0187,0.0033,0.0274,0.0110,0.0063,0.0429,0.1146,0.1615,0.0411,0.0149,0.0052,0.0067
1,SUNDAY,0,0.0187,0.0043,0.0598,0.0110,0.0063,0.0429,0.1020,0.1673,0.0447,0.0173,0.0052,0.0067
1,SUNDAY,1,0.0187,0.0056,0.0665,0.0110,0.0063,0.0429,0.1020,0.1673,0.0447,0.0173,0.0052,0.0067
1,SUNDAY,2,0.0187,0.0058,0.0686,0.0110,0.0063,0.0429,0.1020,0.1673,0.0447,0.0173,0.0052,0.0067
