Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Process,Motors,Air_Compressors
1,WEEKDAY,0,0.0718,0.0631,0.1409,0.0158,0.0093,0.1415,0.3486,0.1092,0.0147,0.0708,0.0000,0.1825,0.0540
1,WEEKDAY,1,0.0581,0.0570,0.1328,0.0139,0.0078,0.1405,0.3367,0.0935,0.0139,0.0631,0.0000,0.1734,0.0503
1,WEEKDAY,2,0.0612,0.0506,0.1289,0.0129,0.0074,0.1402,0.3367,0.0824,0.0140,0.0612,0.0000,0.1636,0.0493
1,WEEKDAY,3,0.0648,0.0490,0.1286,0.0130,0.0090,0.1405,0.3367,0.0879,0.0160,0.0727,0.0002,0.1680,0.0517
1,WEEKDAY,4,0.0673,0.0491,0.1321,0.0146,0.0110,0.1421,0.3367,0.1086,0.0188,0.0892,0.0032,0.1827,0.0643
1,WEEKDAY,5,0.0702,0.0517,0.1478,0.0187,0.0174,0.1465,0.3367,0.1747,0.0252,0.1158,0.0144,0.2196,0.0951
1,WEEKDAY,6,0.0782,0.0521,0.1475,0.0269,0.0216,0.1505,0.2089,0.3210,0.0336,0.1474,0.0285,0.3032,0.1451
1,WEEKDAY,7,0.1012,0.0602,0.1829,0.0335,0.0253,0.1533,0.0000,0.4166,0.0422,0.2799,0.0415,0.3406,0.1842
1,WEEKDAY,8,0.1124,0.0901,0.1894,0.0405,0.0303,0.1557,0.0000,0.4884,0.0504,0.2879,0.0505,0.4384,0.2245
1,WEEKDAY,9,0.1108,0.1344,0.2066,0.0467,0.0362,0.1599,0.0000,0.5328,0.0584,0.3046,0.0552,0.4370,0.2346
1,WEEKDAY,10,0.1019,0.2286,0.2307,0.0548,0.0416,0.1625,0.0000,0.5710,0.0612,0.2882,0.0562,0.4506,0.2392
1,WEEKDAY,11,0.0741,0.3153,0.2631,0.0602,0.0438,0.1642,0.0000,0.5732,0.0626,0.2955,0.0564,0.4681,0.2424
1,WEEKDAY,12,0.0618,0.3742,0.2753,0.0623,0.0428,0.1666,0.0000,0.5740,0.0620,0.2841,0.0565,0.4964,0.2482
1,WEEKDAY,13,0.0517,0.4332,0.2790,0.0618,0.0423,0.1671,0.0000,0.5747,0.0615,0.2889,0.0565,0.4955,0.2465
1,WEEKDAY,14,0.0499,0.4521,0.2798,0.0612,0.0415,0.1688,0.0000,0.5832,0.0610,0.2786,0.0563,0.4897,0.2431
1,WEEKDAY,15,0.0506,0.4431,0.2778,0.0594,0.0409,0.1687,0.0000,0.5837,0.0599,0.2783,0.0547,0.4735,0.2251
1,WEEKDAY,16,0.0564,0.3618,0.2690,0.0565,0.0389,0.1658,0.0062,0.5296,0.0561,0.2698,0.0482,0.4553,0.1840
1,WEEKDAY,17,0.0613,0.2924,0.2589,0.0524,0.0359,0.1640,0.2843,0.4114,0.0459,0.2342,0.0310,0.4731,0.1543
1,WEEKDAY,18,0.0622,0.2480,0.2701,0.0483,0.0333,0.1610,0.4377,0.3438,0.0357,0.2020,0.0155,0.4439,0.1277
1,WEEKDAY,19,0.0614,0.1759,0.2561,0.0438,0.0308,0.1584,0.4621,0.2875,0.0289,0.1666,0.0053,0.3799,0.1066
1,WEEKDAY,20,0.0635,0.1476,0.2524,0.0392,0.0269,0.1560,0.4740,0.2465,0.0249,0.1464,0.0019,0.3082,0.0887
1,WEEKDAY,21,0.0614,0.1282,0.2270,0.0335,0.0232,0.1515,0.4469,0.2126,0.0204,0.1216,0.0008,0.2548,0.0765
1,WEEKDAY,22,0.0605,0.0917,0.1802,0.0262,0.0186,0.1481,0.4208,0.1790,0.0175,0.1011,0.0001,0.2211,0.0666
