Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0034,0.0000,0.0162,0.0138,0.0046,0.0431,0.2090,0.3109,0.0580,0.0249,0.0239,0.0081
1,WEEKDAY,1,0.0040,0.0000,0.0193,0.0121,0.0045,0.0428,0.2090,0.2966,0.0560,0.0236,0.0236,0.0079
1,WEEKDAY,2,0.0040,0.0000,0.0196,0.0121,0.0045,0.0428,0.2090,0.2966,0.0560,0.0236,0.0236,0.0079
1,WEEKDAY,3,0.0040,0.0000,0.0200,0.0121,0.0045,0.0428,0.2090,0.2971,0.0566,0.0243,0.0238,0.0080
1,WEEKDAY,4,0.0052,0.0000,0.0259,0.0125,0.0058,0.0429,0.2090,0.3053,0.0619,0.0305,0.0256,0.0087
1,WEEKDAY,5,0.0029,0.0000,0.0134,0.0156,0.0176,0.0438,0.2090,0.3523,0.0756,0.0524,0.0323,0.0103
1,WEEKDAY,6,0.0000,0.0000,0.0008,0.0216,0.0489,0.0454,0.2090,0.4627,0.0931,0.0877,0.0431,0.0125
1,WEEKDAY,7,0.2400,0.0043,0.2419,0.0329,0.0618,0.0466,0.0000,0.5713,0.1118,0.1214,0.0544,0.0156
1,WEEKDAY,8,0.0834,0.0513,0.3079,0.0520,0.0650,0.0482,0.0000,0.7803,0.1360,0.1713,0.0671,0.0203
1,WEEKDAY,9,0.0559,0.2402,0.3258,0.0695,0.0641,0.0501,0.0000,0.9985,0.1702,0.2539,0.0813,0.0266
1,WEEKDAY,10,0.0352,0.4007,0.3393,0.0723,0.0654,0.0511,0.0000,1.1438,0.1957,0.2870,0.0856,0.0287
1,WEEKDAY,11,0.0413,0.5398,0.3454,0.0677,0.0667,0.0515,0.0000,1.1664,0.2015,0.2912,0.0860,0.0288
1,WEEKDAY,12,0.0292,0.6342,0.3481,0.0642,0.0669,0.0517,0.0000,1.1664,0.2019,0.2913,0.0860,0.0288
1,WEEKDAY,13,0.0311,0.6784,0.3486,0.0625,0.0652,0.0517,0.0000,1.1664,0.2019,0.2913,0.0860,0.0288
1,WEEKDAY,14,0.0254,0.6614,0.3478,0.0618,0.0636,0.0519,0.0000,1.1664,0.1992,0.2897,0.0860,0.0288
1,WEEKDAY,15,0.0281,0.4888,0.3406,0.0612,0.0645,0.0517,0.0000,1.1664,0.1865,0.2779,0.0860,0.0288
1,WEEKDAY,16,0.0219,0.3657,0.3308,0.0604,0.0673,0.0513,0.0000,1.1662,0.1859,0.2546,0.0858,0.0288
1,WEEKDAY,17,0.0262,0.2543,0.3273,0.0598,0.0671,0.0510,0.3728,1.1628,0.1725,0.2397,0.0843,0.0281
1,WEEKDAY,18,0.0269,0.2252,0.3288,0.0592,0.0621,0.0504,0.3728,1.1395,0.1473,0.2333,0.0806,0.0269
