Month,Weekend,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.4145,0.0072,0.3814,0.0127,0.1698,0.2090,0.4771,0.0124,0.2599,0.0109
1,WEEKDAY,1,0.4661,0.0062,0.3837,0.0103,0.1657,0.2090,0.3998,0.0114,0.2337,0.0083
1,WEEKDAY,2,0.5134,0.0053,0.3858,0.0102,0.1641,0.2090,0.3958,0.0107,0.2140,0.0075
1,WEEKDAY,3,0.5580,0.0043,0.3880,0.0102,0.1642,0.2090,0.3958,0.0107,0.2140,0.0075
1,WEEKDAY,4,0.5792,0.0037,0.3890,0.0205,0.1696,0.2090,0.3998,0.0117,0.2207,0.0091
1,WEEKDAY,5,0.5993,0.0031,0.3900,0.0658,0.1802,0.1816,0.4385,0.0158,0.2798,0.0242
1,WEEKDAY,6,0.6119,0.0068,0.3915,0.0957,0.1838,0.0597,0.5073,0.0198,0.3266,0.0298
1,WEEKDAY,7,0.4624,0.0085,0.3856,0.1310,0.1865,0.0000,0.6636,0.0231,0.3469,0.0347
1,WEEKDAY,8,0.1250,0.0452,0.3706,0.1300,0.1906,0.0000,0.6893,0.0247,0.3607,0.0363
1,WEEKDAY,9,0.0406,0.1657,0.3652,0.1252,0.2002,0.0000,0.5876,0.0248,0.3636,0.0432
1,WEEKDAY,10,0.0031,0.2735,0.3643,0.1312,0.2031,0.0000,0.5422,0.0237,0.3727,0.0425
1,WEEKDAY,11,0.0028,0.3588,0.3654,0.1415,0.2049,0.0000,0.4955,0.0233,0.3788,0.0422
1,WEEKDAY,12,0.0038,0.4155,0.3661,0.1498,0.2097,0.0000,0.4931,0.0228,0.3788,0.0422
1,WEEKDAY,13,0.0164,0.4409,0.3676,0.1439,0.2102,0.0000,0.4913,0.0232,0.3822,0.0421
1,WEEKDAY,14,0.0129,0.4276,0.3682,0.1369,0.2145,0.0000,0.4936,0.0247,0.3855,0.0425
1,WEEKDAY,15,0.0277,0.3387,0.3685,0.1352,0.2141,0.0000,0.4955,0.0250,0.4052,0.0429
1,WEEKDAY,16,0.0429,0.2621,0.3671,0.1425,0.2091,0.0000,0.5147,0.0247,0.4249,0.0587
1,WEEKDAY,17,0.0675,0.1891,0.3674,0.1502,0.2064,0.0597,0.5670,0.0237,0.4418,0.0576
