Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.4963,0.0062,0.3368,0.0752,0.2979,1.1452,0.5828,0.3323,0.0209,0.0685,0.0459
1,WEEKDAY,1,0.4995,0.0061,0.2081,0.0784,0.2011,1.1271,0.5828,0.2849,0.0180,0.0601,0.0433
1,WEEKDAY,2,0.5974,0.0064,0.2119,0.1077,0.2028,1.1175,0.5828,0.1492,0.0211,0.0651,0.0431
1,WEEKDAY,3,0.5787,0.0080,0.1912,0.1583,0.2360,1.1172,0.5828,0.1789,0.0289,0.0715,0.0441
1,WEEKDAY,4,0.6670,0.0118,0.2091,0.2565,0.3744,1.1259,0.4544,0.2317,0.0347,0.0876,0.0504
1,WEEKDAY,5,0.6811,0.0220,0.2477,0.3687,0.7375,1.1635,0.4544,0.3438,0.0443,0.1300,0.0645
1,WEEKDAY,6,0.8214,0.0379,0.3238,0.4620,1.1551,1.1797,0.4395,0.5079,0.0584,0.1838,0.0847
1,WEEKDAY,7,0.9618,0.0482,0.3648,0.4872,1.5210,1.2028,0.0000,0.7961,0.0755,0.2271,0.1048
1,WEEKDAY,8,0.7904,0.0901,0.4986,0.5098,1.7546,1.2253,0.0000,0.9219,0.0929,0.2530,0.1238
1,WEEKDAY,9,0.5643,0.1272,0.5858,0.5586,1.8964,1.2702,0.0000,1.0418,0.1087,0.2717,0.1409
1,WEEKDAY,10,0.4610,0.2223,0.7363,0.6056,2.2766,1.3035,0.0000,1.1335,0.1199,0.2890,0.1597
1,WEEKDAY,11,0.3768,0.3252,0.7927,0.6216,2.4621,1.3258,0.0000,1.1722,0.1234,0.2955,0.1632
1,WEEKDAY,12,0.3016,0.4055,0.7941,0.6181,2.3725,1.3492,0.0000,1.1814,0.1239,0.2968,0.1633
1,WEEKDAY,13,0.2735,0.4432,0.7961,0.5699,2.1589,1.3520,0.0000,1.1809,0.1238,0.2970,0.1629
1,WEEKDAY,14,0.2486,0.4550,0.7943,0.3858,1.9146,1.3682,0.0000,1.1729,0.1231,0.2970,0.1606
1,WEEKDAY,15,0.2539,0.4426,0.7938,0.2967,1.8996,1.3696,0.0000,1.1667,0.1224,0.2966,0.1590
1,WEEKDAY,16,0.2605,0.3923,0.7893,0.2449,1.9248,1.3503,0.0000,1.1573,0.1201,0.2934,0.1577
1,WEEKDAY,17,0.3272,0.3331,0.7873,0.2153,2.0687,1.3401,0.5680,1.1286,0.1124,0.2845,0.1567
1,WEEKDAY,18,0.3868,0.2499,0.7768,0.1943,2.1342,1.3087,0.5828,1.0956,0.1036,0.2743,0.1559
1,WEEKDAY,19,0.4393,0.1810,0.7834,0.1854,2.2094,1.2880,0.5828,1.0630,0.0949,0.2621,0.1532
1,WEEKDAY,20,0.4747,0.1409,0.7784,0.1629,2.0469,1.2681,0.5828,0.9970,0.0838,0.2412,0.1407
1,WEEKDAY,21,0.5618,0.0912,0.7228,0.1265,1.7444,1.2309,0.5828,0.8782,0.0687,0.2100,0.1164
1,WEEKDAY,22,0.5250,0.0331,0.6310,0.1017,1.2642,1.2094,0.5828,0.7058,0.0508,0.1646,0.0869
1,WEEKDAY,23,0.4017,0.0136,0.5019,0.0849,0.7170,1.1670,0.5828,0.4902,0.0330,0.1091,0.0593
1,SATURDAY,0,0.5608,0.0054,0.4267,0.0752,0.4564,1.1493,0.5828,0.3628,0.0234,0.0740,0.0486
1,SATURDAY,1,0.5397,0.0047,0.2745,0.0737,0.2396,1.1307,0.5828,0.2825,0.0183,0.0558,0.0435
1,SATURDAY,2,0.8569,0.0028,0.2177,0.0737,0.1762,1.1174,0.5828,0.1175,0.0168,0.0512,0.0424
1,SATURDAY,3,0.7132,0.0022,0.1990,0.0737,0.1761,1.1117,0.5828,0.1174,0.0165,0.0528,0.0424
1,SATURDAY,4,0.8537,0.0012,0.2295,0.0737,0.2669,1.1157,0.4544,0.1578,0.0180,0.0697,0.0470
1,SATURDAY,5,0.9209,0.0031,0.2453,0.0737,0.5544,1.1493,0.4544,0.2553,0.0247,0.1130,0.0599
1,SATURDAY,6,0.8146,0.0106,0.2670,0.0759,0.8602,1.1610,0.4395,0.4180,0.0376,0.1683,0.0785
1,SATURDAY,7,0.9911,0.0126,0.3403,0.0911,1.2549,1.1798,0.0000,0.7204,0.0578,0.2176,0.0983
