Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0202,0.0000,0.1214,0.0111,0.0025,0.0777,0.2169,0.1079,0.0108,0.0146,0.0211,0.0020
1,WEEKDAY,1,0.0225,0.0000,0.1255,0.0111,0.0027,0.0777,0.2145,0.1080,0.0108,0.0147,0.0211,0.0020
1,WEEKDAY,2,0.0245,0.0000,0.1283,0.0112,0.0033,0.0777,0.2145,0.1084,0.0109,0.0147,0.0211,0.0020
1,WEEKDAY,3,0.0280,0.0000,0.1314,0.0129,0.0050,0.0780,0.2145,0.1113,0.0112,0.0152,0.0213,0.0021
1,WEEKDAY,4,0.0297,0.0000,0.1309,0.0193,0.0094,0.0786,0.2145,0.1291,0.0133,0.0168,0.0225,0.0027
1,WEEKDAY,5,0.0294,0.0000,0.1206,0.0324,0.0214,0.0808,0.1928,0.2074,0.0228,0.0230,0.0279,0.0059
1,WEEKDAY,6,0.2416,0.0083,0.1672,0.0408,0.0855,0.0831,0.1928,0.4642,0.0428,0.0388,0.0486,0.0133
1,WEEKDAY,7,0.2258,0.0097,0.2826,0.0485,0.1032,0.0866,0.0000,0.6751,0.0734,0.0697,0.0651,0.0191
1,WEEKDAY,8,0.1980,0.0406,0.2832,0.0554,0.1198,0.0902,0.0000,0.7918,0.1091,0.1045,0.0785,0.0236
1,WEEKDAY,9,0.1523,0.0471,0.2843,0.0570,0.1257,0.0930,0.0000,0.8501,0.1278,0.1315,0.0842,0.0256
1,WEEKDAY,10,0.1286,0.0731,0.2863,0.0570,0.1241,0.0938,0.0000,0.8647,0.1310,0.1431,0.0854,0.0261
1,WEEKDAY,11,0.0951,0.0985,0.2883,0.0585,0.1225,0.0943,0.0000,0.9145,0.1296,0.1437,0.0841,0.0258
1,WEEKDAY,12,0.0877,0.1248,0.2906,0.0585,0.1205,0.0950,0.0000,0.9131,0.1284,0.1379,0.0808,0.0250
1,WEEKDAY,13,0.0776,0.1298,0.2912,0.0538,0.0675,0.0944,0.0000,0.8767,0.1237,0.1161,0.0751,0.0231
1,WEEKDAY,14,0.0717,0.1205,0.2848,0.0391,0.0533,0.0933,0.0000,0.7841,0.1066,0.0817,0.0674,0.0205
1,WEEKDAY,15,0.0744,0.0987,0.2653,0.0248,0.0380,0.0920,0.0000,0.6704,0.0829,0.0542,0.0568,0.0167
1,WEEKDAY,16,0.0766,0.0645,0.2347,0.0162,0.0263,0.0889,0.0000,0.5469,0.0507,0.0356,0.0425,0.0113
1,WEEKDAY,17,0.0448,0.0143,0.1297,0.0129,0.0169,0.0843,0.1513,0.5141,0.0236,0.0238,0.0282,0.0059
1,WEEKDAY,18,0.0041,0.0040,0.0942,0.0117,0.0073,0.0813,0.1513,0.2333,0.0127,0.0173,0.0232,0.0028
1,WEEKDAY,19,0.0040,0.0017,0.0990,0.0112,0.0036,0.0799,0.2305,0.2093,0.0109,0.0149,0.0214,0.0021
1,WEEKDAY,20,0.0049,0.0001,0.0562,0.0111,0.0026,0.0793,0.2329,0.1619,0.0108,0.0146,0.0211,0.0020
1,WEEKDAY,21,0.0072,0.0000,0.0793,0.0111,0.0025,0.0785,0.2329,0.1290,0.0108,0.0146,0.0211,0.0020
1,WEEKDAY,22,0.0107,0.0000,0.0962,0.0111,0.0025,0.0784,0.2329,0.1150,0.0108,0.0146,0.0211,0.0020
1,WEEKDAY,23,0.0133,0.0000,0.1077,0.0111,0.0025,0.0776,0.2329,0.1009,0.0108,0.0146,0.0211,0.0020
1,SATURDAY,0,0.0116,0.0000,0.1160,0.0111,0.0025,0.0777,0.2169,0.1095,0.0105,0.0141,0.0218,0.0020
1,SATURDAY,1,0.0158,0.0000,0.1216,0.0111,0.0026,0.0777,0.2145,0.1096,0.0105,0.0141,0.0218,0.0020
