HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,2.637508153915117,2.637508153915405,0.0,0.0,13.9093539081905
1,2.6375081539152854,2.637508153915429,0.0,0.0,13.9093539081905
2,2.7001355644382903,2.637508153915303,0.0,0.0,13.9093539081905
3,3.46003084438593,2.7107505569092822,0.0,0.0,13.9093539081905
4,6.75791702142611,3.4518642219213493,0.0,0.0,13.9093539081905
5,20.695725799976852,6.308756743486135,0.0,0.0,13.9093539081905
6,54.09639540851431,12.8857851647414,0.0,0.0,13.9093539081905
7,95.00828659306075,23.1877562426605,0.0,0.0,13.9093539081905
8,122.87714211694119,32.82258746944936,0.0,0.0,13.9093539081905
9,133.42608887756435,37.58477017283444,0.0,0.0,13.9093539081905
10,135.22757061413853,38.10039611733877,0.0,0.0,13.9093539081905
11,133.94698377221908,34.1712569525609,0.0,0.0,13.9093539081905
12,130.85300012566586,24.293171444764635,0.0,0.0,13.9093539081905
13,123.87252247470548,12.746087090327261,0.0,0.0,13.9093539081905
14,108.24984922080188,5.795177193788426,0.0,0.0,13.9093539081905
15,80.74434294645809,3.4036641052136445,0.0,0.0,13.9093539081905
16,42.79197658889606,2.7678778584187222,0.0,0.0,13.9093539081905
17,13.755312662928514,2.646879409368299,0.0,0.0,13.9093539081905
18,3.944851277888312,2.6375081539154452,0.0,0.0,13.9093539081905
19,2.7302338675061013,2.637508153915441,0.0,0.0,13.9093539081905
20,2.6375081539155176,2.637508153915408,0.0,0.0,13.9093539081905
21,2.6375081539156153,2.637508153915481,0.0,0.0,13.9093539081905
22,2.6375081539155274,2.637508153915439,0.0,0.0,13.9093539081905
23,2.637508153915701,2.6375081539154097,0.0,0.0,13.9093539081905
