HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,48.6475524902298,48.64755249023402,0.0,0.0
1,48.64755249023288,48.64755249023504,0.0,0.0
2,70.99285380045141,71.07879726703169,0.0,0.0
3,186.67383630980058,186.19249549279039,0.0,0.0
4,361.41655547043183,353.3007821303137,0.0,0.0
5,540.6854453835875,511.52066333477205,0.0,0.0
6,642.4377630825837,589.8019673274109,0.0,0.0
7,664.3231406960894,598.2503151526829,0.0,0.0
8,670.4966535897071,599.3757007305425,0.0,0.0
9,671.9118472278315,599.6074658907368,0.0,0.0
10,671.8447296025635,599.1462584275467,0.0,0.0
11,671.0253424516566,597.4245646550107,0.0,0.0
12,669.4649747066547,594.8181645320018,0.0,0.0
13,666.4575569474365,593.2308578491212,0.0,0.0
14,660.6745060595482,592.900142963116,0.0,0.0
15,651.0758959306139,592.8737493661735,0.0,0.0
16,636.3375295587884,592.8717651367178,0.0,0.0
17,569.0376229121765,546.5683945875899,0.0,0.0
18,493.35249556617896,487.4137954711913,0.0,0.0
19,370.0015303220747,369.0594194852391,0.0,0.0
20,198.48513115777064,198.1358366746165,0.0,0.0
21,98.80546485053497,98.7015171051035,0.0,0.0
22,77.1843338012712,77.1843338012699,0.0,0.0
23,61.33056640625502,12.622037887577964,0.0,0.0
