HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,130.83836607366456,131.52568127558783,0.0,0.0
1,109.90861023066034,110.09640825711759,0.0,0.0
2,101.78693629589819,101.8123245239247,0.0,0.0
3,105.22628006624974,105.34756836524457,0.0,0.0
4,138.33056032611907,139.35595879187937,0.0,0.0
5,186.22728363855435,188.3991082998418,0.0,0.0
6,215.1512299168677,217.98164191612796,0.0,0.0
7,230.0496667153066,233.2324341994069,0.0,0.0
8,237.16920857045753,240.50755368746235,0.0,0.0
9,243.56535245814857,247.07246076143653,0.0,0.0
10,250.95385841574182,254.6346529447115,0.0,0.0
11,253.60106007075325,257.3347167968749,0.0,0.0
12,255.36471329612206,259.14791459303717,0.0,0.0
13,258.43525590567697,262.2931178166316,0.0,0.0
14,269.93850158457394,274.107079725999,0.0,0.0
15,288.10546383912475,292.71730041503884,0.0,0.0
16,304.6104274472063,309.6207087590145,0.0,0.0
17,313.0683854494053,318.26107729398234,0.0,0.0
18,314.4078113073575,319.6268615722652,0.0,0.0
19,290.77416974648486,295.3321691659778,0.0,0.0
20,244.81064024008174,248.23400732187113,0.0,0.0
21,206.41602345901504,208.93774179311876,0.0,0.0
22,182.84798276470102,184.81714688814571,0.0,0.0
23,157.81720543638704,28.3130034613412,0.0,0.0
