HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,13.33716392517074,13.337163925170906,0.0,0.0
1,13.337163925170815,13.337163925170888,0.0,0.0
2,13.349197880975,13.341532597174941,0.0,0.0
3,13.488267456435015,13.373802441817103,0.0,0.0
4,13.978419914099419,13.464461207389833,0.0,0.0
5,14.582978413022701,13.652177975727923,0.0,0.0
6,15.017379727857277,13.884493827819805,0.0,0.0
7,15.279777665704543,14.063247919082686,0.0,0.0
8,15.378579271250704,14.152159168170058,0.0,0.0
9,15.38962511815322,14.174959549537046,0.0,0.0
10,15.384664436866437,14.166692614555346,0.0,0.0
11,15.369323788931469,14.12334463229546,0.0,0.0
12,15.331693495827109,14.069256039766243,0.0,0.0
13,15.249690183734497,13.992880335220923,0.0,0.0
14,15.110558349053893,13.84354307101322,0.0,0.0
15,14.896434699895243,13.59338080883026,0.0,0.0
16,14.542507146053449,13.399150151472845,0.0,0.0
17,13.990190363478376,13.342593128864571,0.0,0.0
18,13.524108791716625,13.337163925170884,0.0,0.0
19,13.356340086779701,13.337163925170895,0.0,0.0
20,13.337163925170973,13.337163925170904,0.0,0.0
21,13.337163925170932,13.33716392517089,0.0,0.0
22,13.337163925170914,13.337163925170877,0.0,0.0
23,13.33716392517102,1.4577228313328305e-13,0.0,0.0
