HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,151.63102308543523,151.40855981753418,0.0,0.0
1,143.12527022964542,142.87370624908996,0.0,0.0
2,129.51336577842824,129.25802262012687,0.0,0.0
3,101.70726821432012,101.44390812287008,0.0,0.0
4,67.43999266350359,67.25581185634299,0.0,0.0
5,48.56396857075191,48.50495699735788,0.0,0.0
6,55.66777674357601,55.739216822844185,0.0,0.0
7,82.62291227903324,82.8059842953318,0.0,0.0
8,115.5991603368995,115.87601846915018,0.0,0.0
9,139.96663915699813,140.30342676089322,0.0,0.0
10,148.00928326310714,148.31398907074546,0.0,0.0
11,148.1716957092276,148.47775402435886,0.0,0.0
12,150.4087698194709,150.723432265796,0.0,0.0
13,167.24878363773712,167.60498415506808,0.0,0.0
14,202.73953125759903,203.07562213677602,0.0,0.0
15,236.67570742610724,236.89689417985753,0.0,0.0
16,258.046318565749,258.190242932393,0.0,0.0
17,267.86329038481097,267.9484129869018,0.0,0.0
18,269.0068113977412,269.0685554100913,0.0,0.0
19,258.2769410144309,258.2911758606249,0.0,0.0
20,237.70960251673017,237.70747391994172,0.0,0.0
21,207.44219738313524,207.3774635791777,0.0,0.0
22,178.2230035920709,178.12185964217525,0.0,0.0
23,161.11101390210288,9.315725079548457,0.0,0.0
