HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,2881.2041015625095,2881.2041015625,0.0,0.0,659.7050523564629
1,2881.204101562511,2881.204101562503,0.0,0.0,659.7050523564629
2,2881.204101562504,2881.204101562505,0.0,0.0,659.7050523564629
3,2881.204101562502,2881.2041015625045,0.0,0.0,659.7050523564629
4,2881.2041015625027,2881.2041015625036,0.0,0.0,659.7050523564629
5,1913.1543871123265,1914.9525563808622,0.0,0.0,659.7050523564629
6,2433.1657860720666,2338.1499323215176,0.0,0.0,659.7050523564629
7,2871.1474609375023,2871.1474609375027,0.0,0.0,659.7050523564629
8,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
9,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
10,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
11,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
12,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
13,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
14,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
15,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
16,2881.2041015625095,2881.2041015625095,0.0,0.0,659.7050523564629
17,904.9950100008405,895.6323792820938,0.0,0.0,659.7050523564629
18,1733.4045950535155,1773.1614807752494,0.0,0.0,659.7050523564629
19,3017.4781312321365,3044.873769466695,0.0,0.0,659.7050523564629
20,2966.2160373263905,2965.8073260967553,0.0,0.0,659.7050523564629
21,2881.204101562501,2881.2041015625036,0.0,0.0,659.7050523564629
22,2881.2041015625027,2881.2041015624977,0.0,0.0,659.7050523564629
23,2881.2041015625055,2881.2041015625005,0.0,0.0,659.7050523564629
