HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,1118.629882812506,1118.6298828124961,0.0,0.0,245.320176163233
1,1118.629882812504,1118.6298828124975,0.0,0.0,245.320176163233
2,1118.629882812497,1118.6298828124966,0.0,0.0,245.320176163233
3,1118.629882812493,1118.6298828125025,0.0,0.0,245.320176163233
4,1118.6298828125011,1118.629882812495,0.0,0.0,245.320176163233
5,757.5247444942112,758.195503601662,0.0,0.0,245.320176163233
6,945.3263424908689,910.2633871402379,0.0,0.0,245.320176163233
7,1071.0050048828143,1071.0050048828116,0.0,0.0,245.320176163233
8,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
9,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
10,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
11,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
12,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
13,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
14,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
15,1118.629882812506,1118.629882812506,0.0,0.0,245.320176163233
16,47.62487030029342,47.62487030029001,0.0,0.0,245.320176163233
17,318.4537240390139,315.3761234283446,0.0,0.0,245.320176163233
18,650.8345899910661,665.5123775188704,0.0,0.0,245.320176163233
19,1098.1125454080552,1108.3317576921909,0.0,0.0,245.320176163233
20,1118.629882812493,1118.6298828124957,0.0,0.0,245.320176163233
21,1118.629882812503,1118.6298828124984,0.0,0.0,245.320176163233
22,1118.6298828124907,1118.6298828124961,0.0,0.0,245.320176163233
23,1118.6298828124977,1118.629882812501,0.0,0.0,245.320176163233
