HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,60.729781841407814,54.289853682884804,0.0,0.0,48.46123892837963
1,58.64197888136738,54.910451375521426,0.0,0.0,48.46123892837963
2,63.55047383801516,60.295103916754286,0.0,0.0,48.46123892837963
3,80.70879540864047,74.20612056438821,0.0,0.0,48.46123892837963
4,108.38909450253266,86.47281588040866,0.0,0.0,48.46123892837963
5,194.50144824031537,118.56846369229802,0.0,0.0,48.46123892837963
6,273.62974872808854,141.02362133906422,0.0,0.0,48.46123892837963
7,318.663094911538,143.37242889404345,0.0,0.0,48.46123892837963
8,354.1201751825905,146.62044407771162,0.0,0.0,48.46123892837963
9,365.11914039114777,150.4970365671009,0.0,0.0,48.46123892837963
10,356.86501782881277,148.79057561434232,0.0,0.0,48.46123892837963
11,350.033372082472,146.6511365450346,0.0,0.0,48.46123892837963
12,359.392719137257,151.79618395291902,0.0,0.0,48.46123892837963
13,366.2238243366109,155.13265815147997,0.0,0.0,48.46123892837963
14,366.212941253778,154.04793482560376,0.0,0.0,48.46123892837963
15,365.9399858964351,151.58420562744146,0.0,0.0,48.46123892837963
16,345.22620014760747,137.20466386354894,0.0,0.0,48.46123892837963
17,316.6103491655252,119.41116010225743,0.0,0.0,48.46123892837963
18,277.10748206244443,97.95270721728987,0.0,0.0,48.46123892837963
19,247.16238368242477,82.86652535658621,0.0,0.0,48.46123892837963
20,226.0376652684709,70.80593369557309,0.0,0.0,48.46123892837963
21,188.06630926022655,58.58101400962285,0.0,0.0,48.46123892837963
22,133.78853823490095,54.675785908332344,0.0,0.0,48.46123892837963
23,81.8017403467422,54.28985368288477,0.0,0.0,48.46123892837963
