HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,1466.5837430405716,1466.6448411207948,0.0,0.0,26.99089455435957
1,1440.5103970231592,1440.5877885084874,0.0,0.0,26.99089455435957
2,1434.146265022585,1433.896668654213,0.0,0.0,26.99089455435957
3,1464.5957405412248,1462.754999014053,0.0,0.0,26.99089455435957
4,1535.0551219954775,1526.0986081636877,0.0,0.0,26.99089455435957
5,1609.4449776251083,1581.935219397909,0.0,0.0,26.99089455435957
6,1668.2634693599373,1619.3597646859953,0.0,0.0,26.99089455435957
7,1712.3110809910734,1648.9229325514611,0.0,0.0,26.99089455435957
8,1751.2026544914333,1680.7453437218314,0.0,0.0,26.99089455435957
9,1773.6346683429022,1701.0704615666286,0.0,0.0,26.99089455435957
10,1780.6373660500426,1707.9460085355313,0.0,0.0,26.99089455435957
11,1789.5576307508609,1717.2976039006169,0.0,0.0,26.99089455435957
12,1794.7749439692534,1723.651428222666,0.0,0.0,26.99089455435957
13,1799.8535058032471,1731.3930687537559,0.0,0.0,26.99089455435957
14,1799.7692468869623,1735.7496936504647,0.0,0.0,26.99089455435957
15,1784.2181901602871,1726.1464961125298,0.0,0.0,26.99089455435957
16,1757.2387447430326,1711.292109562803,0.0,0.0,26.99089455435957
17,1716.705919053818,1690.3884289081266,0.0,0.0,26.99089455435957
18,1684.1646714484466,1674.3173734224742,0.0,0.0,26.99089455435957
19,1656.9536600514707,1654.1507333608768,0.0,0.0,26.99089455435957
20,1619.9384101487763,1619.2822664701037,0.0,0.0,26.99089455435957
21,1575.7150822782032,1575.7272362342228,0.0,0.0,26.99089455435957
22,1537.3387268767974,1537.4254267765903,0.0,0.0,26.99089455435957
23,1502.5159809215022,1502.5573131854705,0.0,0.0,26.99089455435957
