HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,6103.29487255273,5662.142159910982,0.3655691382457462,-18.26933345728904,78.58764870069717
1,6092.383441278174,5676.462141514121,0.3655691382457462,-18.26933345728904,78.58764870069717
2,6094.74314001634,5688.000896297542,0.3655691382457462,-18.26933345728904,78.58764870069717
3,6102.498522347324,5674.408217337997,0.3655691382457462,-18.26933345728904,78.58764870069717
4,6236.785218755042,5789.332159083398,0.3655691382457462,-18.26933345728904,78.58764870069717
5,6338.930972002244,5911.03924441819,0.3655691382457462,-18.26933345728904,78.58764870069717
6,6407.352443363917,6000.509038867258,0.3655691382457462,-18.26933345728904,78.58764870069717
7,6463.126763877163,6059.787232109715,0.3655691382457462,-18.26933345728904,78.58764870069717
8,6458.587006723298,6055.391818391712,0.3655691382457462,-18.26933345728904,78.58764870069717
9,6442.34839349563,6036.364161284322,0.3655691382457462,-18.26933345728904,78.58764870069717
10,6442.276451255171,6033.50933017051,0.3655691382457462,-18.26933345728904,78.58764870069717
11,6446.785013733606,6033.935907402905,0.3655691382457462,-18.26933345728904,78.58764870069717
12,6455.4719998395385,6042.5016775416225,0.3655691382457462,-18.26933345728904,78.58764870069717
13,6462.206822983132,6048.319526202277,0.3655691382457462,-18.26933345728904,78.58764870069717
14,6472.666807953968,6061.62927652611,0.3655691382457462,-18.26933345728904,78.58764870069717
15,6478.759092802524,6074.253170133529,0.3655691382457462,-18.26933345728904,78.58764870069717
16,6426.899616471084,6017.895559060857,0.3655691382457462,-18.26933345728904,78.58764870069717
17,6363.0043738683125,5958.666704661065,0.3655691382457462,-18.26933345728904,78.58764870069717
18,6229.291040170515,5824.846287800415,0.3655691382457462,-18.26933345728904,78.58764870069717
19,6133.55939339027,5641.461659224503,0.3655691382457462,-18.26933345728904,78.58764870069717
20,6127.9633656118995,5623.282346288353,0.3655691382457462,-18.26933345728904,78.58764870069717
21,6120.31764559962,5584.971756075905,0.3655691382457462,-18.26933345728904,78.58764870069717
22,6115.704235416453,5642.962846733576,0.3655691382457462,-18.26933345728904,78.58764870069717
23,6073.109616395356,5730.5031741966295,0.3655691382457462,-18.26933345728904,78.58764870069717
