HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,595.0840944019671,585.8527837900024,0.0,0.0,580.0112564461937
1,575.5043338468655,627.0280999403739,0.0,0.0,580.0112564461937
2,585.9153769774368,670.8993137066133,0.0,0.0,580.0112564461937
3,659.9448487731471,701.637340839097,0.0,0.0,580.0112564461937
4,799.4923226659762,753.8106894859906,0.0,0.0,580.0112564461937
5,1004.8850352553955,866.846226618839,0.0,0.0,580.0112564461937
6,1241.6480979481264,982.0977671696575,0.0,0.0,580.0112564461937
7,1394.2658974366136,1010.8891255305396,0.0,0.0,580.0112564461937
8,1450.3590249247907,1019.1708268385665,0.0,0.0,580.0112564461937
9,1457.3488902826352,1022.7006002572855,0.0,0.0,580.0112564461937
10,1457.4022116240835,1023.1343935452976,0.0,0.0,580.0112564461937
11,1457.4082017218875,1023.1054135836092,0.0,0.0,580.0112564461937
12,1457.4082017218898,1022.9277208768456,0.0,0.0,580.0112564461937
13,1457.3910812436375,1022.0516809316796,0.0,0.0,580.0112564461937
14,1457.1569302730559,1018.7267520611101,0.0,0.0,580.0112564461937
15,1455.4257155378166,1007.1582794189457,0.0,0.0,580.0112564461937
16,1447.8045701067144,965.4032674936161,0.0,0.0,580.0112564461937
17,1429.7426402358706,920.2054801354041,0.0,0.0,580.0112564461937
18,1385.5561965416157,869.1341476440427,0.0,0.0,580.0112564461937
19,1257.0660227340672,818.3376279977651,0.0,0.0,580.0112564461937
20,1131.1367933485292,765.6466654264016,0.0,0.0,580.0112564461937
21,1075.0324777186636,675.3217435983513,0.0,0.0,580.0112564461937
22,911.0701293945328,588.9021248450643,0.0,0.0,580.0112564461937
23,692.8549305415347,575.2011084923371,0.0,0.0,580.0112564461937
