HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,3083.950779940374,3082.32341120794,0.0,0.0,2167.9033092279183
1,3083.5043337299167,3082.323411207939,0.0,0.0,2167.9033092279183
2,3096.9553419090616,3082.3234112079067,0.0,0.0,2167.9033092279183
3,3333.3041459008455,3082.600724440385,0.0,0.0,2167.9033092279183
4,4645.124922361396,3086.7758343036458,0.0,0.0,2167.9033092279183
5,8590.403496168525,3107.640517014728,0.0,0.0,2167.9033092279183
6,13872.93681154232,3151.5630000187857,0.0,0.0,2167.9033092279183
7,17673.115698335703,3203.129096398012,0.0,0.0,2167.9033092279183
8,19583.056257109034,3244.652618408206,0.0,0.0,2167.9033092279183
9,20144.77858596739,3268.3726783165635,0.0,0.0,2167.9033092279183
10,19814.23759653375,3275.643402099621,0.0,0.0,2167.9033092279183
11,19308.110703274648,3260.503209040723,0.0,0.0,2167.9033092279183
12,18865.028700086776,3212.1273522010574,0.0,0.0,2167.9033092279183
13,18166.807471264354,3152.60006479118,0.0,0.0,2167.9033092279183
14,16374.449403960094,3111.433387169482,0.0,0.0,2167.9033092279183
15,12566.451697572422,3092.1779245229945,0.0,0.0,2167.9033092279183
16,7274.779637362333,3085.140702467713,0.0,0.0,2167.9033092279183
17,3883.8571618324936,3082.8082228440608,0.0,0.0,2167.9033092279183
18,3129.2071388215013,3082.3556518554774,0.0,0.0,2167.9033092279183
19,3090.949519014854,3082.32341120794,0.0,0.0,2167.9033092279183
20,3088.1568561422737,3082.323411207939,0.0,0.0,2167.9033092279183
21,3087.865770361932,3082.323411207943,0.0,0.0,2167.9033092279183
22,3087.4474648662235,3082.32341120794,0.0,0.0,2167.9033092279183
23,3086.0946227326417,3082.3234112079335,0.0,0.0,2167.9033092279183
