HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,12.076397895812281,12.076397895813004,0.0,0.0
1,12.864833718515197,12.076397895813106,0.0,0.0
2,20.45676600795973,12.076397895812779,0.0,0.0
3,47.35242997092965,12.07639789581336,0.0,0.0
4,101.00729015686487,12.076397895813079,0.0,0.0
5,163.55931441354497,12.076397895813113,0.0,0.0
6,208.91102757216606,12.076397895813066,0.0,0.0
7,230.04058708541697,12.076397895813324,0.0,0.0
8,235.67808800912917,12.07639789581297,0.0,0.0
9,236.25320568303937,12.076397895813166,0.0,0.0
10,236.2532056830395,12.076397895813116,0.0,0.0
11,236.2532056830395,12.0763978958131,0.0,0.0
12,236.12181441354568,12.076397895813322,0.0,0.0
13,229.24982998288908,12.07639789581319,0.0,0.0
14,188.12205674182374,12.076397895813113,0.0,0.0
15,124.92223880665492,12.076397895813098,0.0,0.0
16,74.20182653405223,12.076397895813109,0.0,0.0
17,41.855131003135114,12.076397895813171,0.0,0.0
18,23.359730848406983,12.076397895813109,0.0,0.0
19,14.810008841912213,12.076397895813116,0.0,0.0
20,12.33782057561207,12.076397895813,0.0,0.0
21,12.076397895813527,12.076397895813145,0.0,0.0
22,12.076397895813281,12.076397895813088,0.0,0.0
23,12.076397895813724,7.300826609935029e-13,0.0,0.0
