HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,3338.328189542886,3340.1080275315558,0.0,0.0,50.648427015780115
1,3261.957756188619,3262.347935603212,0.0,0.0,50.648427015780115
2,3240.6794508425805,3240.749896709717,0.0,0.0,50.648427015780115
3,3321.15369166825,3323.0533517690938,0.0,0.0,50.648427015780115
4,3504.698268378828,3509.9654282790007,0.0,0.0,50.648427015780115
5,3664.197570566905,3672.1475783127917,0.0,0.0,50.648427015780115
6,3761.660737136431,3771.4915982759853,0.0,0.0,50.648427015780115
7,3838.044784370494,3849.293191763082,0.0,0.0,50.648427015780115
8,3929.9404006899435,3942.7672236515973,0.0,0.0,50.648427015780115
9,3996.213873735311,4009.614300067602,0.0,0.0,50.648427015780115
10,4015.756112869659,4029.243185190053,0.0,0.0,50.648427015780115
11,4039.26045408284,4052.7685922475966,0.0,0.0,50.648427015780115
12,4054.514976764537,4067.9903634878547,0.0,0.0,50.648427015780115
13,4070.472672151872,4084.056912935699,0.0,0.0,50.648427015780115
14,4079.932844490818,4093.4348285381584,0.0,0.0,50.648427015780115
15,4058.9683730319002,4072.4127478966334,0.0,0.0,50.648427015780115
16,4028.265053467751,4041.588822584893,0.0,0.0,50.648427015780115
17,3970.9098831118245,3983.6767742450393,0.0,0.0,50.648427015780115
18,3916.6124898976086,3928.9879666841894,0.0,0.0,50.648427015780115
19,3868.7197209500437,3880.254622239331,0.0,0.0,50.648427015780115
20,3773.7515144202225,3783.5570443960387,0.0,0.0,50.648427015780115
21,3654.2556096219587,3661.8188054011403,0.0,0.0,50.648427015780115
22,3544.080724489646,3549.682779165408,0.0,0.0,50.648427015780115
23,3443.109405868388,3446.9979365422128,0.0,0.0,50.648427015780115
