HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,10803.808558811295,10414.776183068363,-55.74463789015138,-185.35859913595456,1285.7171717414149
1,10108.354879292396,9731.45641748925,-55.74463789015138,-185.35859913595456,1285.7171717414149
2,9648.557637604346,9106.804791625003,-55.74463789015138,-185.35859913595456,1285.7171717414149
3,9943.720964770911,9230.320776658373,-55.74463789015138,-185.35859913595456,1285.7171717414149
4,10252.164456461502,9539.308510355544,-55.74463789015138,-185.35859913595456,1285.7171717414149
5,10798.894983736187,10011.544580897717,-55.74463789015138,-185.35859913595456,1285.7171717414149
6,11632.321630662209,10898.941204216017,-55.74463789015138,-185.35859913595456,1285.7171717414149
7,12840.171424052118,13123.830627038496,-55.74463789015138,-185.35859913595456,1285.7171717414149
8,13704.430546388965,13948.1374926717,-55.74463789015138,-185.35859913595456,1285.7171717414149
9,14525.252424639342,14854.520950912005,-55.74463789015138,-185.35859913595456,1285.7171717414149
10,15472.663303521673,15944.679270419752,-55.74463789015138,-185.35859913595456,1285.7171717414149
11,16468.587250333505,16535.351834511526,-55.74463789015138,-185.35859913595456,1285.7171717414149
12,16761.45134927443,16382.796157995777,-55.74463789015138,-185.35859913595456,1285.7171717414149
13,16852.96790999787,16304.424830336051,-55.74463789015138,-185.35859913595456,1285.7171717414149
14,16963.58562728977,16344.196325800514,-55.74463789015138,-185.35859913595456,1285.7171717414149
15,17059.39024224443,16362.37907047876,-55.74463789015138,-185.35859913595456,1285.7171717414149
16,16848.479476935478,16224.224991242161,-55.74463789015138,-185.35859913595456,1285.7171717414149
17,17257.752504351625,16158.730453610326,-55.74463789015138,-185.35859913595456,1285.7171717414149
18,16219.31839063837,15293.811308731656,-55.74463789015138,-185.35859913595456,1285.7171717414149
19,15068.15118053951,14426.44769421975,-55.74463789015138,-185.35859913595456,1285.7171717414149
20,14382.137095796821,13502.138405216805,-55.74463789015138,-185.35859913595456,1285.7171717414149
21,13331.251325131945,12395.780226700443,-55.74463789015138,-185.35859913595456,1285.7171717414149
22,12227.725973008575,11589.435839944263,-55.74463789015138,-185.35859913595456,1285.7171717414149
23,11572.032366396996,11285.912628165388,-55.74463789015138,-185.35859913595456,1285.7171717414149
