HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1.1186968735570668,60.92403341170671,0.0,0.0
1,0.40903920049378517,62.45113685755766,0.0,0.0
2,5.9854255497903335,64.22880859128513,0.0,0.0
3,41.1834270871938,64.73637899928403,0.0,0.0
4,88.51698710087129,65.36417911946756,0.0,0.0
5,114.5787939276268,71.46173421751985,0.0,0.0
6,124.67697867945492,94.46337927705962,0.0,0.0
7,130.1559088257535,113.97925421309037,0.0,0.0
8,132.93753708916108,119.945657954193,0.0,0.0
9,133.93378828859818,122.52837562962203,0.0,0.0
10,134.23396760933213,123.04359458444215,0.0,0.0
11,134.27249882321647,120.66959616255306,0.0,0.0
12,134.26965963612065,116.35470698831206,0.0,0.0
13,134.1825231884629,111.8583399481499,0.0,0.0
14,133.6341559274894,106.62085562428602,0.0,0.0
15,132.54460481300185,100.8621623940193,0.0,0.0
16,131.36577639451912,93.28688884698428,0.0,0.0
17,129.04321564614088,76.0774110097152,0.0,0.0
18,113.58340858134216,61.13393972814087,0.0,0.0
19,59.6825486095008,54.58095584838436,0.0,0.0
20,18.647297407133255,48.06921596624518,0.0,0.0
21,28.197679449315935,44.915512690750646,0.0,0.0
22,26.80093825776944,60.32434762957005,0.0,0.0
23,8.262084139947298,64.9252627523679,0.0,0.0
