HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,128.82981796555734,129.15582840259157,0.0,0.0,199.69495873770367
1,127.23950782863102,127.42344401432997,0.0,0.0,199.69495873770367
2,131.00148629958272,130.78253562633307,0.0,0.0,199.69495873770367
3,156.34236782266387,152.56366671049304,0.0,0.0,199.69495873770367
4,251.99185309281918,232.22724767831482,0.0,0.0,199.69495873770367
5,545.3582312923654,492.2520236968983,0.0,0.0,199.69495873770367
6,1143.6490207833272,1043.36738527738,0.0,0.0,199.69495873770367
7,1787.0196308705947,1623.9678532527075,0.0,0.0,199.69495873770367
8,2171.1338980371415,2001.1380858788111,0.0,0.0,199.69495873770367
9,2308.748842787461,2187.5041148845926,0.0,0.0,199.69495873770367
10,2361.1240987375736,2253.274387359619,0.0,0.0,199.69495873770367
11,2391.929080890049,2267.8882323045004,0.0,0.0,199.69495873770367
12,2363.9095154977795,2230.1530664884167,0.0,0.0,199.69495873770367
13,2328.3072098187517,2193.7418785095224,0.0,0.0,199.69495873770367
14,2319.31911448043,2187.5640182495113,0.0,0.0,199.69495873770367
15,2220.176287888562,2078.7294050363394,0.0,0.0,199.69495873770367
16,1966.5231464722167,1794.0932916494523,0.0,0.0,199.69495873770367
17,1570.151304749235,1368.9460129371053,0.0,0.0,199.69495873770367
18,1069.3025557126957,880.1921803401066,0.0,0.0,199.69495873770367
19,637.0382236758303,509.1480284470782,0.0,0.0,199.69495873770367
20,393.5000199358175,327.00735180194516,0.0,0.0,199.69495873770367
21,278.6461115577755,241.56569040738867,0.0,0.0,199.69495873770367
22,196.37146832112109,178.73849986149773,0.0,0.0,199.69495873770367
23,143.40780265487908,140.21935169513435,0.0,0.0,199.69495873770367
