HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,267.71241302048423,611.5960157771561,-178.70266958638908,0.0
1,332.2279190401724,696.9194434236172,-178.70266958638908,0.0
2,351.30946815861427,664.20633461577,-178.70266958638908,0.0
3,436.99218393370506,572.7845522874895,-178.70266958638908,0.0
4,956.711033914866,661.2639276586642,-178.70266958638908,0.0
5,2805.7396395400924,682.4459304063159,-178.70266958638908,0.0
6,3118.34212175277,907.3677762961622,-178.70266958638908,0.0
7,2863.0835597679156,2029.7824018807075,-178.70266958638908,0.0
8,2119.5427619530733,1690.4558316353264,-178.70266958638908,0.0
9,1496.0905692267434,1470.3042375549412,-178.70266958638908,0.0
10,1031.0448355188498,1069.8628817966032,-178.70266958638908,0.0
11,901.7451646739062,1027.919834123921,-178.70266958638908,0.0
12,679.6887472270513,920.6285151701654,-178.70266958638908,0.0
13,806.2824802315683,1094.7320932179632,-178.70266958638908,0.0
14,1428.129697699752,1147.324499408362,-178.70266958638908,0.0
15,1243.076695685693,885.3876003051353,-178.70266958638908,0.0
16,1354.803274165143,693.1146080275589,-178.70266958638908,0.0
17,1439.39217432448,496.26600306572414,-178.70266958638908,0.0
18,1523.8170512976092,487.9926773033521,-178.70266958638908,0.0
19,1731.1095238656821,528.3429337743978,-178.70266958638908,0.0
20,1981.8681061511559,596.0180011413786,-178.70266958638908,0.0
21,2136.2918903480727,645.8656977253751,-178.70266958638908,0.0
22,277.48253536362927,690.1333560736111,-178.70266958638908,0.0
23,331.875100254755,359.1643665529933,-178.70266958638908,0.0
