HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,12006.451302831481,11963.822960486797,0.0,0.0,930.8429917241695
1,11738.961771880906,11693.932072566104,0.0,0.0,930.8429917241695
2,11597.67291516987,11531.665048452436,0.0,0.0,930.8429917241695
3,11790.11591909164,11722.412945087206,0.0,0.0,930.8429917241695
4,13230.663620988962,12942.585768479581,0.0,0.0,930.8429917241695
5,17203.389371557587,15723.950570913423,0.0,0.0,930.8429917241695
6,21551.427225515414,18251.4592660757,0.0,0.0,930.8429917241695
7,23800.851794480295,19276.25723031856,0.0,0.0,930.8429917241695
8,24270.77301843864,19325.934288611785,0.0,0.0,930.8429917241695
9,24104.963758680453,19129.876333383374,0.0,0.0,930.8429917241695
10,23958.853582974087,19048.972543569704,0.0,0.0,930.8429917241695
11,23903.87711027292,18932.211970402648,0.0,0.0,930.8429917241695
12,23909.556962404153,18768.29424579336,0.0,0.0,930.8429917241695
13,23952.938180974572,18673.432316706727,0.0,0.0,930.8429917241695
14,23853.410859674223,18585.05947641225,0.0,0.0,930.8429917241695
15,23422.33164960483,18457.498910757215,0.0,0.0,930.8429917241695
16,22716.29029723426,18262.827674278873,0.0,0.0,930.8429917241695
17,21841.758590756668,18151.016789362948,0.0,0.0,930.8429917241695
18,20771.582734674215,18035.827486478345,0.0,0.0,930.8429917241695
19,19407.78641343377,17635.827148437504,0.0,0.0,930.8429917241695
20,17543.258126796074,16581.927339994003,0.0,0.0,930.8429917241695
21,15234.979679268527,14773.772010216324,0.0,0.0,930.8429917241695
22,13449.672215487339,13246.42666391224,0.0,0.0,930.8429917241695
23,12489.019650981965,12425.550067608161,0.0,0.0,930.8429917241695
