HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,13815.427696115896,13670.676541428016,10.680661776452325,-56.54723117313688
1,13814.89956990169,13656.476881857354,10.680661776452325,-56.54723117313688
2,13821.158097751506,13688.944141081354,10.680661776452325,-56.54723117313688
3,13892.54113928435,13728.934036931796,10.680661776452325,-56.54723117313688
4,14027.773650486553,13800.47668602541,10.680661776452325,-56.54723117313688
5,14176.216855930808,13867.278274575474,10.680661776452325,-56.54723117313688
6,15307.436847444584,14129.016330421198,10.680661776452325,-56.54723117313688
7,16973.872013603974,14597.84273131817,10.680661776452325,-56.54723117313688
8,17646.674170590584,15182.69722692061,10.680661776452325,-56.54723117313688
9,17722.82050026211,15481.075131034602,10.680661776452325,-56.54723117313688
10,17765.5314713068,15536.266404046602,10.680661776452325,-56.54723117313688
11,17818.010414223063,15633.966781429639,10.680661776452325,-56.54723117313688
12,17886.841080738162,15703.386339201505,10.680661776452325,-56.54723117313688
13,17952.205293096482,15778.676013481005,10.680661776452325,-56.54723117313688
14,17990.513756099863,15585.543923830423,10.680661776452325,-56.54723117313688
15,18043.158270468834,15453.08491882278,10.680661776452325,-56.54723117313688
16,18049.54437011821,14890.749568947893,10.680661776452325,-56.54723117313688
17,17504.513053036084,14354.472324434028,10.680661776452325,-56.54723117313688
18,16667.28713880785,14213.142371348808,10.680661776452325,-56.54723117313688
19,15911.939749170835,14025.34096585691,10.680661776452325,-56.54723117313688
20,14670.719840012458,13858.73669426152,10.680661776452325,-56.54723117313688
21,13948.273732056468,13764.623898224778,10.680661776452325,-56.54723117313688
22,13871.550614076492,13686.774820749411,10.680661776452325,-56.54723117313688
23,13839.784614170918,-108.81072004131909,10.680661776452325,-56.54723117313688
