HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,4407.632324218758,4407.632324218738,0.0,0.0
1,4407.632324218746,4407.632324218735,0.0,0.0
2,4407.632324218737,4407.632324218743,0.0,0.0
3,4407.632324218743,4407.632324218738,0.0,0.0
4,4407.6323242187445,4407.632324218745,0.0,0.0
5,3037.0340225394984,3037.517985417284,0.0,0.0
6,2012.4385013507108,1942.4185521052332,0.0,0.0
7,797.8909300588471,786.9174364530036,0.0,0.0
8,373.03982543944585,373.03982543944585,0.0,0.0
9,4407.632324218758,4407.632324218758,0.0,0.0
10,4407.632324218758,4407.632324218758,0.0,0.0
11,4407.632324218758,4407.632324218758,0.0,0.0
12,4407.632324218758,4407.632324218758,0.0,0.0
13,4407.632324218758,4407.632324218758,0.0,0.0
14,4407.632324218758,4407.632324218758,0.0,0.0
15,373.03982543944494,373.03982543944494,0.0,0.0
16,531.4299045138755,532.0390971257066,0.0,0.0
17,1571.9858763245225,1563.9896709735485,0.0,0.0
18,2889.749521540495,2931.7784682053716,0.0,0.0
19,4350.297897865011,4378.854852529664,0.0,0.0
20,4407.632324218739,4407.632324218741,0.0,0.0
21,4407.632324218739,4407.632324218741,0.0,0.0
22,4407.632324218737,4407.632324218738,0.0,0.0
23,4407.63232421874,-1.737987531669205e-11,0.0,0.0
