HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,3319.8507421500317,3320.362119234528,0.0,0.0,248.83879900142375
1,3011.3534024410055,3011.295675424426,0.0,0.0,248.83879900142375
2,2853.0074533045517,2857.957510141201,0.0,0.0,248.83879900142375
3,2890.3704632873432,2916.074702336259,0.0,0.0,248.83879900142375
4,3467.7028116394204,3517.020341139573,0.0,0.0,248.83879900142375
5,4432.8532396805795,4471.130361703712,0.0,0.0,248.83879900142375
6,5215.564698201199,5228.151080791759,0.0,0.0,248.83879900142375
7,5679.098913433889,5682.903573843159,0.0,0.0,248.83879900142375
8,5817.77216722041,5822.668081430287,0.0,0.0,248.83879900142375
9,5772.919283928963,5779.354853703413,0.0,0.0,248.83879900142375
10,5788.786980289137,5794.136901855469,0.0,0.0,248.83879900142375
11,5788.772023168083,5787.8664128230175,0.0,0.0,248.83879900142375
12,5783.573300182572,5770.490933931816,0.0,0.0,248.83879900142375
13,5829.1032761613815,5798.702228252704,0.0,0.0,248.83879900142375
14,5996.677373308754,5947.859332744891,0.0,0.0,248.83879900142375
15,6403.2554534093515,6334.6627854567305,0.0,0.0,248.83879900142375
16,6767.779401640342,6696.075941819413,0.0,0.0,248.83879900142375
17,6983.867847895701,6936.548128568202,0.0,0.0,248.83879900142375
18,7116.815906743861,7100.850557767422,0.0,0.0,248.83879900142375
19,6772.887792594543,6779.432593712439,0.0,0.0,248.83879900142375
20,6029.524619851555,6047.7382718599765,0.0,0.0,248.83879900142375
21,5353.324194429497,5366.819373497591,0.0,0.0,248.83879900142375
22,4801.411821270357,4806.1527052659185,0.0,0.0,248.83879900142375
23,3979.353687739517,3979.6564847505983,0.0,0.0,248.83879900142375
