HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,5462.603327608472,5224.483774038456,0.0,0.0,2687.8775265637705
1,3912.7139495030397,4363.424210768493,0.0,0.0,2687.8775265637705
2,3799.4311878889516,4275.2566739595095,0.0,0.0,2687.8775265637705
3,4779.195826972949,4943.135047325809,0.0,0.0,2687.8775265637705
4,6371.481325580664,6269.0561758187905,0.0,0.0,2687.8775265637705
5,8367.415269171932,8083.829655573909,0.0,0.0,2687.8775265637705
6,10851.65068621348,10449.039935772234,0.0,0.0,2687.8775265637705
7,15171.852056393607,13410.993431678235,0.0,0.0,2687.8775265637705
8,20880.769411518122,17941.06806828424,0.0,0.0,2687.8775265637705
9,26878.76717403005,22327.83309232268,0.0,0.0,2687.8775265637705
10,30192.126335757825,24308.323458158055,0.0,0.0,2687.8775265637705
11,31044.321782956085,24989.320481520444,0.0,0.0,2687.8775265637705
12,31837.44300392113,25693.43549992494,0.0,0.0,2687.8775265637705
13,32425.655931962334,26323.36716871997,0.0,0.0,2687.8775265637705
14,32572.086532417252,27277.352989783652,0.0,0.0,2687.8775265637705
15,32272.92401146426,27597.7866774339,0.0,0.0,2687.8775265637705
16,31865.026924688736,27630.036001352157,0.0,0.0,2687.8775265637705
17,31169.787262781338,26945.347074068493,0.0,0.0,2687.8775265637705
18,29924.17181139236,25426.244103064884,0.0,0.0,2687.8775265637705
19,28304.596855543426,23714.98439378004,0.0,0.0,2687.8775265637705
20,23662.270747276158,20708.982741135795,0.0,0.0,2687.8775265637705
21,15957.988086685906,14940.953514686014,0.0,0.0,2687.8775265637705
22,10160.669295153904,9998.24853515625,0.0,0.0,2687.8775265637705
23,7789.787616364555,7145.507427509012,0.0,0.0,2687.8775265637705
