HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,33.417560577392194,33.41756057739259,0.0,0.0
1,33.42215516832124,33.42448109846845,0.0,0.0
2,33.43373150295652,33.44366829211879,0.0,0.0
3,33.46691173977397,33.471690324636704,0.0,0.0
4,33.54628541734476,33.52307488368108,0.0,0.0
5,33.625055101182504,33.60104964329641,0.0,0.0
6,33.66122182210384,33.65628946744477,0.0,0.0
7,33.673114352755974,33.673358183640794,0.0,0.0
8,33.676101684570206,33.67610168457032,0.0,0.0
9,33.67610168457011,33.67610168457027,0.0,0.0
10,33.67610168457022,33.67610168457031,0.0,0.0
11,33.6761016845702,33.67610168457033,0.0,0.0
12,33.67610168457019,33.6761016845705,0.0,0.0
13,33.6761016845702,33.67610168457033,0.0,0.0
14,33.67423460218618,33.67610168457031,0.0,0.0
15,33.64214706420886,33.637027226961585,0.0,0.0
16,33.580614301893576,33.569558143615765,0.0,0.0
17,33.51620780097112,33.5063089957604,0.0,0.0
18,33.466710832383704,33.468854464017426,0.0,0.0
19,33.44002448187907,33.44905574505146,0.0,0.0
20,33.42795944213885,33.43287211198074,0.0,0.0
21,33.420547909206924,33.42190529749943,0.0,0.0
22,33.41756057739265,33.41756057739256,0.0,0.0
23,33.41756057739291,3.4416913763379853e-13,0.0,0.0
