HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,5526.78302913957,6040.625802847058,0.0,0.0
1,5187.317592343077,5495.515310434219,0.0,0.0
2,6051.459337957825,5488.6691002478265,0.0,0.0
3,7793.773922039985,6301.156930776819,0.0,0.0
4,10839.578824682674,8475.765606219948,0.0,0.0
5,16395.681223434392,11863.53303410453,0.0,0.0
6,22356.76212658691,15380.655489408036,0.0,0.0
7,26578.808212104825,17927.409508338384,0.0,0.0
8,28720.15696090749,19426.24964317906,0.0,0.0
9,29149.330777807598,19917.44474909852,0.0,0.0
10,28802.22528286632,19594.553156926082,0.0,0.0
11,28470.560685314813,19188.362041766835,0.0,0.0
12,28294.944130148393,18983.84527118394,0.0,0.0
13,27736.04769441448,18809.659489558297,0.0,0.0
14,26346.835679328204,18365.272207406844,0.0,0.0
15,23944.499479914943,17402.351590670078,0.0,0.0
16,20552.116727280914,16026.665273813102,0.0,0.0
17,16982.837946749256,14584.876784104556,0.0,0.0
18,14236.34162101883,13234.16609074518,0.0,0.0
19,12194.825468450543,11763.30922288161,0.0,0.0
20,10683.310101622432,10429.84540264423,0.0,0.0
21,9248.696500464066,9077.82407320464,0.0,0.0
22,7350.027128606966,7527.1144550029985,0.0,0.0
23,6259.918602954547,949.7428967167918,0.0,0.0
