HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,1533.5056881959254,1533.4729543832664,0.0,0.0,38.432529751699754
1,1532.9927842881852,1533.08490929237,0.0,0.0,38.432529751699754
2,1533.9642778301466,1533.6705791766747,0.0,0.0,38.432529751699754
3,1539.345423439036,1534.6395885761049,0.0,0.0,38.432529751699754
4,1556.3247804605173,1539.674161470856,0.0,0.0,38.432529751699754
5,1589.542475324013,1544.3858231764564,0.0,0.0,38.432529751699754
6,1645.5256445874275,1547.395243718073,0.0,0.0,38.432529751699754
7,1722.8862239209104,1550.380160991968,0.0,0.0,38.432529751699754
8,1809.2794970516006,1558.159934410685,0.0,0.0,38.432529751699754
9,1862.7928158113214,1564.787276047926,0.0,0.0,38.432529751699754
10,1877.6049673730818,1568.3936814528263,0.0,0.0,38.432529751699754
11,1881.6937400847055,1577.0201533390943,0.0,0.0,38.432529751699754
12,1869.187232006552,1583.1285329965558,0.0,0.0,38.432529751699754
13,1840.3451058691016,1590.2869673508894,0.0,0.0,38.432529751699754
14,1802.3882921006832,1594.5262603759775,0.0,0.0,38.432529751699754
15,1726.8559631113783,1588.023484450122,0.0,0.0,38.432529751699754
16,1651.8440708438188,1581.5628086970448,0.0,0.0,38.432529751699754
17,1605.7786472364387,1571.936565692609,0.0,0.0,38.432529751699754
18,1579.3403371759657,1564.404684213492,0.0,0.0,38.432529751699754
19,1563.9091001780882,1558.3019984318682,0.0,0.0,38.432529751699754
20,1555.329397150394,1550.265681340147,0.0,0.0,38.432529751699754
21,1548.685513200439,1544.5923168475824,0.0,0.0,38.432529751699754
22,1539.7882313929326,1538.4881709172168,0.0,0.0,38.432529751699754
23,1534.2034841954192,1533.9238915076628,0.0,0.0,38.432529751699754
