HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,0.27540519673283204,0.27540519673283204,0.0,0.0,6.363495445764784
1,0.49309681841871966,0.27540519673283204,0.0,0.0,6.363495445764784
2,2.270489380058155,0.12890470027937656,0.0,0.0,6.363495445764784
3,8.705850487170053,0.921001727581162,0.0,0.0,6.363495445764784
4,23.173532027972133,4.036850113868864,0.0,0.0,6.363495445764784
5,35.85445664899629,7.16523356437703,0.0,0.0,6.363495445764784
6,39.23282409373959,8.183580055237016,0.0,0.0,6.363495445764784
7,38.00917190996562,8.090679454803553,0.0,0.0,6.363495445764784
8,37.833598442228556,7.853761701584007,0.0,0.0,6.363495445764784
9,39.86504306529358,7.995735177993916,0.0,0.0,6.363495445764784
10,41.53534130993577,8.422276668548683,0.0,0.0,6.363495445764784
11,41.46839913266459,8.6746626663209,0.0,0.0,6.363495445764784
12,39.84772746459308,8.348044815063632,0.0,0.0,6.363495445764784
13,38.89757485069313,7.841405057907307,0.0,0.0,6.363495445764784
14,38.381748127843146,7.838026742935334,0.0,0.0,6.363495445764784
15,39.87925000812706,9.185747756958147,0.0,0.0,6.363495445764784
16,43.17610504316254,10.39736373901387,0.0,0.0,6.363495445764784
17,42.44178812777111,9.467116203308196,0.0,0.0,6.363495445764784
18,36.50284303459734,7.9843563747406865,0.0,0.0,6.363495445764784
19,30.836119327385017,6.856751289367819,0.0,0.0,6.363495445764784
20,27.907041211266296,4.997589697838042,0.0,0.0,6.363495445764784
21,20.96100936730706,2.3291743135453817,0.0,0.0,6.363495445764784
22,10.316446775198054,0.5056621775033809,0.0,0.0,6.363495445764784
23,2.5646658803027043,0.08445478975793536,0.0,0.0,6.363495445764784
