HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,37.987620021185755,49.87531247505767,0.0,0.0,199.41515210356073
1,40.42864770998678,46.900362858406254,0.0,0.0,199.41515210356073
2,79.0106207018087,61.894230659189404,0.0,0.0,199.41515210356073
3,228.89426686664817,106.81722043111083,0.0,0.0,199.41515210356073
4,533.4106761888507,180.1510888613189,0.0,0.0,199.41515210356073
5,935.4034381734858,276.6963832561789,0.0,0.0,199.41515210356073
6,1349.5458786770926,415.13029164534345,0.0,0.0,199.41515210356073
7,1677.4130237330858,522.2094361965495,0.0,0.0,199.41515210356073
8,1873.927418149749,562.7086649674632,0.0,0.0,199.41515210356073
9,1955.653778894647,563.6734008789074,0.0,0.0,199.41515210356073
10,1978.6089935887348,510.4556635343116,0.0,0.0,199.41515210356073
11,1986.694433687287,439.6212589557359,0.0,0.0,199.41515210356073
12,1985.3064849970428,378.76685201204964,0.0,0.0,199.41515210356073
13,1919.2494849427894,321.6598685337963,0.0,0.0,199.41515210356073
14,1605.1618382245597,261.8915246816791,0.0,0.0,199.41515210356073
15,1105.4276963157195,210.65026033841704,0.0,0.0,199.41515210356073
16,644.419703516469,178.54049623929595,0.0,0.0,199.41515210356073
17,329.05663828648835,159.3454032311086,0.0,0.0,199.41515210356073
18,182.22166220712134,146.1626936105589,0.0,0.0,199.41515210356073
19,136.3412164856136,126.65174315526005,0.0,0.0,199.41515210356073
20,111.29217406525231,111.17965338780326,0.0,0.0,199.41515210356073
21,84.60821106425162,93.6070802395175,0.0,0.0,199.41515210356073
22,60.06641816179661,74.09127770937476,0.0,0.0,199.41515210356073
23,44.45171797595881,60.22220105391304,0.0,0.0,199.41515210356073
