HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,548.6809961311627,548.8231623722963,0.0,0.0
1,502.95978589989465,502.84212640615556,0.0,0.0
2,343.3882222376534,342.4991308358982,0.0,0.0
3,128.3235727361403,126.29111994229999,0.0,0.0
4,24.26947821876547,20.398306028201205,0.0,0.0
5,15.461622168733129,9.021558495668842,0.0,0.0
6,24.2739185263938,15.417767545351921,0.0,0.0
7,41.39636525979819,30.538440374229026,0.0,0.0
8,59.87989277583819,47.83502976711026,0.0,0.0
9,73.12624286326303,60.53443916027402,0.0,0.0
10,99.40899991441012,86.64059928747378,0.0,0.0
11,161.23304643302032,148.5220890778764,0.0,0.0
12,272.67795963214144,260.5434067065921,0.0,0.0
13,399.281925128337,390.046235304613,0.0,0.0
14,500.30317120898934,495.1248782231255,0.0,0.0
15,557.4022671637395,555.2133307823768,0.0,0.0
16,576.4773912685599,576.0924436129064,0.0,0.0
17,580.2179644939081,580.4848403930661,0.0,0.0
18,580.529552006628,580.8745727539056,0.0,0.0
19,580.4577000643529,580.8024444580078,0.0,0.0
20,579.7891625883044,580.1308382474464,0.0,0.0
21,577.5144150540297,577.8431044358473,0.0,0.0
22,572.7274064688847,573.025267380934,0.0,0.0
23,564.3192522187832,15.880399367259628,0.0,0.0
