HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,4234.800336932669,4238.423790564902,0.0,0.0,1089.8124413336927
1,4252.9731744641485,4219.299072265636,0.0,0.0,1089.8124413336927
2,4447.69528630857,4255.562176044123,0.0,0.0,1089.8124413336927
3,4793.761728104261,4472.957510141268,0.0,0.0,1089.8124413336927
4,5465.397468420717,4993.353778545668,0.0,0.0,1089.8124413336927
5,8034.964056139175,6673.780813363855,0.0,0.0,1089.8124413336927
6,12658.964694085525,9362.106680063083,0.0,0.0,1089.8124413336927
7,14931.891145084965,11773.111201359698,0.0,0.0,1089.8124413336927
8,15041.739796605565,13133.389268141518,0.0,0.0,1089.8124413336927
9,15149.31813861942,13542.32320462738,0.0,0.0,1089.8124413336927
10,15156.244911398418,13566.168635441702,0.0,0.0,1089.8124413336927
11,15156.244911398408,13500.407306377703,0.0,0.0,1089.8124413336927
12,15156.244911398422,13409.080392690841,0.0,0.0,1089.8124413336927
13,15156.244911398431,13210.929485614482,0.0,0.0,1089.8124413336927
14,15156.244911398386,12669.767348069403,0.0,0.0,1089.8124413336927
15,15122.356119791637,11970.020052396334,0.0,0.0,1089.8124413336927
16,14710.792493564446,11170.633155235882,0.0,0.0,1089.8124413336927
17,12467.931300137687,9997.084895207321,0.0,0.0,1089.8124413336927
18,10206.037636943183,8706.992999737071,0.0,0.0,1089.8124413336927
19,8756.8024724616,7799.361999511715,0.0,0.0,1089.8124413336927
20,7128.060215741776,6470.018019456125,0.0,0.0,1089.8124413336927
21,5350.851820671753,5001.1689077524115,0.0,0.0,1089.8124413336927
22,4290.028887167771,4266.056138258707,0.0,0.0,1089.8124413336927
23,4185.282118055664,4187.509098933289,0.0,0.0,1089.8124413336927
