HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,9041.896480633211,8952.474853515632,0.0,0.0,2708.4814322052493
1,9052.637631704889,8947.523775540865,0.0,0.0,2708.4814322052493
2,9157.58180675271,8973.507361778768,0.0,0.0,2708.4814322052493
3,9424.265692349538,9153.513784555353,0.0,0.0,2708.4814322052493
4,10617.79368339915,9615.036395733177,0.0,0.0,2708.4814322052493
5,14503.225039661018,10797.675405649023,0.0,0.0,2708.4814322052493
6,21343.57562559915,12808.992084209724,0.0,0.0,2708.4814322052493
7,28649.571887721428,15002.084003155083,0.0,0.0,2708.4814322052493
8,33562.51735362778,16718.385037935688,0.0,0.0,2708.4814322052493
9,35446.18331687008,17505.093834510197,0.0,0.0,2708.4814322052493
10,35780.054766073954,17416.139282226562,0.0,0.0,2708.4814322052493
11,35707.57388574588,16700.17655123198,0.0,0.0,2708.4814322052493
12,35451.767810105295,15704.057401217018,0.0,0.0,2708.4814322052493
13,34767.87413194441,14624.747004582336,0.0,0.0,2708.4814322052493
14,32990.12945626785,13474.397639347957,0.0,0.0,2708.4814322052493
15,29635.95282192882,12512.975754957937,0.0,0.0,2708.4814322052493
16,24716.791442169582,11945.353064903868,0.0,0.0,2708.4814322052493
17,19513.19894187017,11462.20504056491,0.0,0.0,2708.4814322052493
18,15081.975668252991,10805.663330078127,0.0,0.0,2708.4814322052493
19,11932.322205758948,10209.406625600965,0.0,0.0,2708.4814322052493
20,10200.938689834851,9660.45445838342,0.0,0.0,2708.4814322052493
21,9447.45955684277,9218.334134615403,0.0,0.0,2708.4814322052493
22,9185.951089559427,9044.368267352766,0.0,0.0,2708.4814322052493
23,9082.916595576087,8985.107928936286,0.0,0.0,2708.4814322052493
