HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2748.510459227684,2179.9060234655185,0.0,-987.2555099969188
1,2652.1961035016348,2104.6655748806593,0.0,-987.2555099969188
2,2556.3128561553435,2033.3986558180027,0.0,-987.2555099969188
3,2508.9543298535577,2024.026113656671,0.0,-987.2555099969188
4,2549.1019583117545,2014.3036686822547,0.0,-987.2555099969188
5,6131.435637141623,4928.2081281221135,0.0,-987.2555099969188
6,8857.879378863077,6229.311944227883,0.0,-987.2555099969188
7,11048.957309367734,6989.77920951525,0.0,-987.2555099969188
8,12829.794575598782,7828.335238663973,0.0,-987.2555099969188
9,14603.528495317749,8565.178934817992,0.0,-987.2555099969188
10,16070.82434564823,8958.141398955697,0.0,-987.2555099969188
11,16807.65011476487,9077.456863024554,0.0,-987.2555099969188
12,17335.409835105904,8969.600969098343,0.0,-987.2555099969188
13,17651.781343049086,8590.274108022002,0.0,-987.2555099969188
14,17792.43151560548,8195.903815869016,0.0,-987.2555099969188
15,17402.579348157167,4306.588224970905,0.0,-987.2555099969188
16,15358.654852799371,2996.1336517517225,0.0,-987.2555099969188
17,13793.322348532914,3208.147618619844,0.0,-987.2555099969188
18,12158.869933501288,3230.6375283204375,0.0,-987.2555099969188
19,11099.087448425551,3081.9288060277195,0.0,-987.2555099969188
20,9889.563893440185,2923.5402330716784,0.0,-987.2555099969188
21,8249.486686098127,2612.6588340171033,0.0,-987.2555099969188
22,4647.754020927398,2392.9687200691765,0.0,-987.2555099969188
23,2980.4678868328137,-302.8910433576924,0.0,-987.2555099969188
