HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,1320.988595545934,1229.0324284480164,0.0,0.0,322.60267570903284
1,1200.5369994649284,1193.0658363929224,0.0,0.0,322.60267570903284
2,1485.240553347961,1636.1058959960726,0.0,0.0,322.60267570903284
3,2342.962519737128,2609.7227959266265,0.0,0.0,322.60267570903284
4,3880.030111612478,4141.492941049426,0.0,0.0,322.60267570903284
5,5184.621430495656,5418.855764535746,0.0,0.0,322.60267570903284
6,5914.782517473486,6092.640535794765,0.0,0.0,322.60267570903284
7,6312.475647674196,6399.5502178485685,0.0,0.0,322.60267570903284
8,6452.054194541706,6481.433936485871,0.0,0.0,322.60267570903284
9,6541.60274204529,6554.5017653245095,0.0,0.0,322.60267570903284
10,6586.762450236455,6593.954153207636,0.0,0.0,322.60267570903284
11,6309.89502140204,6313.397085336542,0.0,0.0,322.60267570903284
12,5839.791790140069,5842.563532902659,0.0,0.0,322.60267570903284
13,5290.210813091166,5291.513329139125,0.0,0.0,322.60267570903284
14,4777.30093185013,4771.913841834436,0.0,0.0,322.60267570903284
15,4473.9750714649035,4455.483473557692,0.0,0.0,322.60267570903284
16,4305.933194332207,4271.3023822490995,0.0,0.0,322.60267570903284
17,4170.504835106852,4127.982036884012,0.0,0.0,322.60267570903284
18,3973.5438564490323,3931.7512136606038,0.0,0.0,322.60267570903284
19,3666.192429582703,3630.174260066104,0.0,0.0,322.60267570903284
20,3377.8964217029015,3344.163100022535,0.0,0.0,322.60267570903284
21,3005.1314126669004,2944.4739943284267,0.0,0.0,322.60267570903284
22,2331.910061306438,2224.5003145658043,0.0,0.0,322.60267570903284
23,1735.7083169638004,1607.4802339994008,0.0,0.0,322.60267570903284
