HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,284.06651662774897,306.69800479595494,0.0,0.0,30.42118839488979
1,284.58310766694865,336.45992836585367,0.0,0.0,30.42118839488979
2,300.5609357694974,394.3501135019133,0.0,0.0,30.42118839488979
3,372.7201959018155,467.7872798626255,0.0,0.0,30.42118839488979
4,464.23965898418703,513.4236784714916,0.0,0.0,30.42118839488979
5,511.3109834751371,520.224123441255,0.0,0.0,30.42118839488979
6,526.4604487510609,520.2241234412554,0.0,0.0,30.42118839488979
7,531.0067586496853,520.2241234412572,0.0,0.0,30.42118839488979
8,531.8231732014021,520.2241234412559,0.0,0.0,30.42118839488979
9,531.8736686852669,520.2200129582325,0.0,0.0,30.42118839488979
10,531.8736686852683,520.0777851985051,0.0,0.0,30.42118839488979
11,531.873668685268,519.1830755380485,0.0,0.0,30.42118839488979
12,531.8736686852682,517.6337870084343,0.0,0.0,30.42118839488979
13,531.8721273721847,515.3709878187914,0.0,0.0,30.42118839488979
14,531.8598791831262,509.9842866750862,0.0,0.0,30.42118839488979
15,531.6929590217893,492.55905826275153,0.0,0.0,30.42118839488979
16,530.6750350309073,438.3094969529375,0.0,0.0,30.42118839488979
17,528.7153427884033,419.7597609299878,0.0,0.0,30.42118839488979
18,512.720783803652,403.03863055889394,0.0,0.0,30.42118839488979
19,428.1596608362854,366.9404258728025,0.0,0.0,30.42118839488979
20,350.6635969023161,349.9774762667144,0.0,0.0,30.42118839488979
21,382.84236221021325,338.1755922757662,0.0,0.0,30.42118839488979
22,380.2776761694436,326.3155467693619,0.0,0.0,30.42118839488979
23,314.60061271346325,313.5771099970887,0.0,0.0,30.42118839488979
