HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,16136.586596024717,16134.253342848579,0.0,0.0,472.3929627948901
1,16121.341587344254,16121.19719989482,0.0,0.0,472.3929627948901
2,16114.549452975185,16112.514319786565,0.0,0.0,472.3929627948901
3,16167.015146073194,16153.37132850067,0.0,0.0,472.3929627948901
4,16649.317334171432,16598.37497182994,0.0,0.0,472.3929627948901
5,17150.99988775131,17055.956261268002,0.0,0.0,472.3929627948901
6,17428.536510716574,17289.25629131608,0.0,0.0,472.3929627948901
7,17700.722630058593,17506.251558744047,0.0,0.0,472.3929627948901
8,18222.218211206848,18007.596304086557,0.0,0.0,472.3929627948901
9,18601.208512930916,18397.316218449487,0.0,0.0,472.3929627948901
10,18722.199585428585,18530.69615760216,0.0,0.0,472.3929627948901
11,19054.43616050041,18867.745718149046,0.0,0.0,472.3929627948901
12,19296.658143259046,19108.617563101074,0.0,0.0,472.3929627948901
13,19563.878921216437,19378.277324969968,0.0,0.0,472.3929627948901
14,19721.810644156973,19542.96689077523,0.0,0.0,472.3929627948901
15,19367.215517241337,19200.462665264422,0.0,0.0,472.3929627948901
16,19029.4378816452,18876.035099909892,0.0,0.0,472.3929627948901
17,18568.193516522973,18420.2016038161,0.0,0.0,472.3929627948901
18,18179.78938427911,18035.47252478965,0.0,0.0,472.3929627948901
19,17961.845418761826,17821.04957932693,0.0,0.0,472.3929627948901
20,17489.946255388037,17355.654033954346,0.0,0.0,472.3929627948901
21,17040.23930271198,16930.578894981976,0.0,0.0,472.3929627948901
22,16550.573859554625,16489.002741887,0.0,0.0,472.3929627948901
23,16189.787113116783,16171.682419996976,0.0,0.0,472.3929627948901
