HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,22664.035156250015,22664.035156250007,0.0,0.0,3204.4643004982718
1,22664.035156249975,22664.035156249996,0.0,0.0,3204.4643004982718
2,21382.550781249996,21377.621995192298,0.0,0.0,3204.4643004982718
3,20357.363281250047,20357.363281250055,0.0,0.0,3204.4643004982718
4,18960.734592013978,18955.362943209133,0.0,0.0,3204.4643004982718
5,10728.01995498833,10724.724735260002,0.0,0.0,3204.4643004982718
6,4671.201912013941,4448.007924006528,0.0,0.0,3204.4643004982718
7,115.09323120119734,115.09323120118643,0.0,0.0,3204.4643004982718
8,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
9,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
10,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
11,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
12,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
13,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
14,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
15,22664.035156250015,22664.035156250015,0.0,0.0,3204.4643004982718
16,644.9142456054615,644.9142456054724,0.0,0.0,3204.4643004982718
17,8889.641892005639,8800.993640606226,0.0,0.0,3204.4643004982718
18,16281.62517772692,16439.90876183148,0.0,0.0,3204.4643004982718
19,21901.168836805584,21907.3836763822,0.0,0.0,3204.4643004982718
20,23146.818793402785,23146.637883112977,0.0,0.0,3204.4643004982718
21,23173.1304253472,23173.376352163465,0.0,0.0,3204.4643004982718
22,23224.283203125004,23224.283203125007,0.0,0.0,3204.4643004982718
23,22913.03428819445,22911.837176983157,0.0,0.0,3204.4643004982718
