HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,14.725408554076958,14.725408554077172,0.0,0.0,1.9301100131537958
1,14.72540855407703,14.725408554077148,0.0,0.0,1.9301100131537958
2,14.725408554076973,14.725408554077067,0.0,0.0,1.9301100131537958
3,14.725408554077598,14.725408554077214,0.0,0.0,1.9301100131537958
4,15.98321617243388,14.725408554077168,0.0,0.0,1.9301100131537958
5,19.952187322565287,14.725408554077108,0.0,0.0,1.9301100131537958
6,24.863023860244937,14.725408554077127,0.0,0.0,1.9301100131537958
7,27.977137459648905,14.725408554077205,0.0,0.0,1.9301100131537958
8,28.830195057894485,14.725408554077166,0.0,0.0,1.9301100131537958
9,28.830195057894432,14.72540855407714,0.0,0.0,1.9301100131537958
10,28.83019505789448,14.725408554077143,0.0,0.0,1.9301100131537958
11,28.830195057894464,14.725408554077157,0.0,0.0,1.9301100131537958
12,28.830195057894475,14.72540855407726,0.0,0.0,1.9301100131537958
13,28.83019505789447,14.725408554077163,0.0,0.0,1.9301100131537958
14,28.83019505789442,14.72540855407714,0.0,0.0,1.9301100131537958
15,28.7741138487483,14.725408554077154,0.0,0.0,1.9301100131537958
16,27.986388728993226,14.725408554077188,0.0,0.0,1.9301100131537958
17,25.41683704916997,14.725408554077154,0.0,0.0,1.9301100131537958
18,21.225685331556416,14.725408554077136,0.0,0.0,1.9301100131537958
19,17.722506285627077,14.725408554077152,0.0,0.0,1.9301100131537958
20,15.800191901196115,14.725408554077168,0.0,0.0,1.9301100131537958
21,14.926485587810713,14.725408554077154,0.0,0.0,1.9301100131537958
22,14.725408554077175,14.725408554077129,0.0,0.0,1.9301100131537958
23,14.725408554077303,14.725408554077138,0.0,0.0,1.9301100131537958
