HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,456.2168418913379,657.501461029053,0.0,0.0,215.90310554394372
1,438.9987959003017,531.9788460364728,0.0,0.0,215.90310554394372
2,480.0523379972487,691.1266432542004,0.0,0.0,215.90310554394372
3,753.8768308208666,926.9596977233937,0.0,0.0,215.90310554394372
4,1229.9063734734164,1005.0964604891262,0.0,0.0,215.90310554394372
5,1702.3019754110073,1041.7206153869606,0.0,0.0,215.90310554394372
6,2088.1762026498545,1064.1243139413682,0.0,0.0,215.90310554394372
7,2322.7910098956413,1075.4565065824106,0.0,0.0,215.90310554394372
8,2399.2584291655394,1077.8354688791123,0.0,0.0,215.90310554394372
9,2407.5735878195246,1077.610473339373,0.0,0.0,215.90310554394372
10,2407.573587819528,1076.2536254295937,0.0,0.0,215.90310554394372
11,2407.573587819527,1074.411844987136,0.0,0.0,215.90310554394372
12,2407.573587819532,1072.55097345206,0.0,0.0,215.90310554394372
13,2407.146439007868,1070.4413572458127,0.0,0.0,215.90310554394372
14,2397.8837846193187,1064.9826522240273,0.0,0.0,215.90310554394372
15,2334.558354052544,1049.7925215501052,0.0,0.0,215.90310554394372
16,2146.007816709327,1005.442817394551,0.0,0.0,215.90310554394372
17,1864.1425161544355,980.7121717012842,0.0,0.0,215.90310554394372
18,1565.7194950498306,956.3315426753118,0.0,0.0,215.90310554394372
19,1107.296118959146,915.8169675973747,0.0,0.0,215.90310554394372
20,765.5601354138662,884.0487720782937,0.0,0.0,215.90310554394372
21,816.8212640404317,853.9277211702789,0.0,0.0,215.90310554394372
22,770.9102649907984,808.0338437007019,0.0,0.0,215.90310554394372
23,559.0064793144736,744.3896493178138,0.0,0.0,215.90310554394372
