HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,59.74601122626132,59.74601122626132,0.0,0.0,125.87094286158474
1,59.74601122626132,59.74601122626132,0.0,0.0,125.87094286158474
2,-90.70425484490306,-24.798973284121075,0.0,0.0,125.87094286158474
3,-239.64237240833245,-36.36891889973731,0.0,0.0,125.87094286158474
4,-143.02355384554858,63.14666952877428,0.0,0.0,125.87094286158474
5,47.895126267131445,27.89924997594926,0.0,0.0,125.87094286158474
6,-4.579347073093231,-41.795316597321516,0.0,0.0,125.87094286158474
7,79.87232259125403,-8.623368258214441,0.0,0.0,125.87094286158474
8,-140.81446898909303,101.64214762480105,0.0,0.0,125.87094286158474
9,-84.25716117997786,12.731603290916837,0.0,0.0,125.87094286158474
10,106.76786221893462,17.59113317285869,0.0,0.0,125.87094286158474
11,106.2215496883598,70.48354857467439,0.0,0.0,125.87094286158474
12,-220.84637989474186,86.5872241067641,0.0,0.0,125.87094286158474
13,146.33106817101248,-70.66257876999953,0.0,0.0,125.87094286158474
14,173.50267700733662,13.856112552772856,0.0,0.0,125.87094286158474
15,16.10895397396348,-84.68000717558243,0.0,0.0,125.87094286158474
16,95.00893991323233,29.881503577868898,0.0,0.0,125.87094286158474
17,103.92378319073646,-79.42007053663633,0.0,0.0,125.87094286158474
18,-30.909024763095204,-104.8972006774909,0.0,0.0,125.87094286158474
19,22.34404106404054,-112.979270360496,0.0,0.0,125.87094286158474
20,4.660242462443875,-114.97588092409364,0.0,0.0,125.87094286158474
21,48.68947290242727,59.74601122626132,0.0,0.0,125.87094286158474
22,47.75681461299496,59.74601122626132,0.0,0.0,125.87094286158474
23,-98.833672175331,59.74601122626132,0.0,0.0,125.87094286158474
