HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,198.50954389811653,220.6523873976098,-1.7176412375027996,0.0,79.34718075010002
1,198.50954389811653,198.50954389811653,-1.7176412375027996,0.0,79.34718075010002
2,198.50954389811653,198.50954389811653,-1.7176412375027996,0.0,79.34718075010002
3,198.50954389811653,198.50954389811653,-1.7176412375027996,0.0,79.34718075010002
4,198.50954389811653,198.50954389811653,-1.7176412375027996,0.0,79.34718075010002
5,198.50954389811653,198.50954389811653,-1.7176412375027996,0.0,79.34718075010002
6,207.46428069919705,212.52276434066914,-1.7176412375027996,0.0,79.34718075010002
7,276.9976923952229,301.9160757870822,-1.7176412375027996,0.0,79.34718075010002
8,270.84628887285623,265.6696220198401,-1.7176412375027996,0.0,79.34718075010002
9,176.30049621233184,168.6393545636716,-1.7176412375027996,0.0,79.34718075010002
10,182.30843585228286,159.01311097895933,-1.7176412375027996,0.0,79.34718075010002
11,174.89367834676744,169.39537695202338,-1.7176412375027996,0.0,79.34718075010002
12,221.9236171809913,158.7320072588807,-1.7176412375027996,0.0,79.34718075010002
13,227.64945551708988,159.03386531788954,-1.7176412375027996,0.0,79.34718075010002
14,230.85841856834293,162.20557047097589,-1.7176412375027996,0.0,79.34718075010002
15,230.9835101210794,159.50558771714495,-1.7176412375027996,0.0,79.34718075010002
16,196.50032630674207,159.0189070755596,-1.7176412375027996,0.0,79.34718075010002
17,166.74710697739044,176.06491126020526,-1.7176412375027996,0.0,79.34718075010002
18,194.65545065207903,178.23804615621262,-1.7176412375027996,0.0,79.34718075010002
19,192.83786821565963,204.33136671319937,-1.7176412375027996,0.0,79.34718075010002
20,177.56356466042072,207.32374099407795,-1.7176412375027996,0.0,79.34718075010002
21,213.82041682110525,198.50954389811653,-1.7176412375027996,0.0,79.34718075010002
22,170.45334336657714,186.93504343270592,-1.7176412375027996,0.0,79.34718075010002
23,184.90426268510103,206.189441744182,-1.7176412375027996,0.0,79.34718075010002
