HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,265.7092557117378,172.33936576727456,0.0,-1317.0527542882132,12062.126840231305
1,194.78926748552942,127.89743229595382,0.0,-1317.0527542882132,12062.126840231305
2,164.0440744792811,97.12012500992597,0.0,-1317.0527542882132,12062.126840231305
3,128.40620602971086,68.69083537116768,0.0,-1317.0527542882132,12062.126840231305
4,134.0271784326157,64.1095718664873,0.0,-1317.0527542882132,12062.126840231305
5,2113.7749309353803,149.22221828071628,0.0,-1317.0527542882132,12062.126840231305
6,8759.922299926355,434.02008916966804,0.0,-1317.0527542882132,12062.126840231305
7,14349.117240962467,472.06559576245536,0.0,-1317.0527542882132,12062.126840231305
8,20970.213088037177,968.9742470638636,0.0,-1317.0527542882132,12062.126840231305
9,27339.215118414922,967.697778782611,0.0,-1317.0527542882132,12062.126840231305
10,33014.04635370509,445.82989764235174,0.0,-1317.0527542882132,12062.126840231305
11,37767.14116631341,-790.2525652430468,0.0,-1317.0527542882132,12062.126840231305
12,39363.26354912855,-1885.395621394595,0.0,-1317.0527542882132,12062.126840231305
13,40013.37418151248,-3490.0550658690418,0.0,-1317.0527542882132,12062.126840231305
14,32852.91146444894,-4398.223914242026,0.0,-1317.0527542882132,12062.126840231305
15,16881.590108006425,-4784.017104144845,0.0,-1317.0527542882132,12062.126840231305
16,4896.560695600868,-5256.882783029009,0.0,-1317.0527542882132,12062.126840231305
17,-1487.7972264648313,-4798.205003948006,0.0,-1317.0527542882132,12062.126840231305
18,-1630.3103539810209,-2978.168263894833,0.0,-1317.0527542882132,12062.126840231305
19,-469.14160597180364,-986.2321144122573,0.0,-1317.0527542882132,12062.126840231305
20,174.49521051815515,-181.37721452936,0.0,-1317.0527542882132,12062.126840231305
21,344.07719324765753,139.39382061293867,0.0,-1317.0527542882132,12062.126840231305
22,354.04553957548336,285.0592715863536,0.0,-1317.0527542882132,12062.126840231305
23,295.73282185658576,215.35847902938423,0.0,-1317.0527542882132,12062.126840231305
