HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,289.7910037570491,289.91628294724705,0.0,0.0,56.32178576282643
1,289.7910037570511,289.9162829472464,0.0,0.0,56.32178576282643
2,289.7910037570497,289.916282947245,0.0,0.0,56.32178576282643
3,289.79100375706116,289.9162829472479,0.0,0.0,56.32178576282643
4,289.7910037570522,290.1195589212272,0.0,0.0,56.32178576282643
5,291.971552004757,292.5156703362089,0.0,0.0,56.32178576282643
6,326.77786401040885,301.6318296285771,0.0,0.0,56.32178576282643
7,396.79679724448357,314.8741585658155,0.0,0.0,56.32178576282643
8,484.1478044648725,326.46512779822734,0.0,0.0,56.32178576282643
9,543.885058640518,332.41928819509593,0.0,0.0,56.32178576282643
10,550.9095393506029,332.54278417733974,0.0,0.0,56.32178576282643
11,553.2109517649199,329.19800024766187,0.0,0.0,56.32178576282643
12,553.6575820162823,320.83083079411625,0.0,0.0,56.32178576282643
13,544.5838493259465,310.44831701425403,0.0,0.0,56.32178576282643
14,534.4201268455508,299.93240107022774,0.0,0.0,56.32178576282643
15,517.4074598290441,292.6001446063702,0.0,0.0,56.32178576282643
16,485.11064703345863,290.7113249852112,0.0,0.0,56.32178576282643
17,432.3307041445907,290.3907790550816,0.0,0.0,56.32178576282643
18,366.3155307696675,290.11378757770206,0.0,0.0,56.32178576282643
19,318.3533824467537,289.9415145287146,0.0,0.0,56.32178576282643
20,297.96970855596146,289.916282947247,0.0,0.0,56.32178576282643
21,290.6721785972869,289.91628294724666,0.0,0.0,56.32178576282643
22,289.79100375705326,289.9162829472463,0.0,0.0,56.32178576282643
23,289.6387909637131,289.68221459021896,0.0,0.0,56.32178576282643
