HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,108.58241271972021,108.58241271972662,0.0,0.0
1,108.5824127197238,108.58241271972706,0.0,0.0
2,108.5824127197183,108.58952045440466,0.0,0.0
3,120.0127226146424,109.09554342123499,0.0,0.0
4,244.53689782738024,112.83516597747868,0.0,0.0
5,698.999800817257,122.9947067407468,0.0,0.0
6,1365.219696804958,144.32941128657467,0.0,0.0
7,1996.0005566242535,172.24700106107525,0.0,0.0
8,2421.048902197355,189.09464880136304,0.0,0.0
9,2604.0037764041317,192.91360502976792,0.0,0.0
10,2655.8532220833104,193.10386334932844,0.0,0.0
11,2664.5200646060607,192.4020673311681,0.0,0.0
12,2660.7533970975296,189.780874105603,0.0,0.0
13,2609.3762268417177,184.90150481004162,0.0,0.0
14,2404.4350828558045,176.90694236755442,0.0,0.0
15,1964.612822375531,164.64332815317078,0.0,0.0
16,1347.7350711749436,140.5775956373957,0.0,0.0
17,729.585347727341,117.64013547163893,0.0,0.0
18,343.25762074203357,109.48669998462465,0.0,0.0
19,207.33944439065192,108.58241271972734,0.0,0.0
20,154.60154776737843,108.58241271972662,0.0,0.0
21,120.81708687384484,108.58241271972801,0.0,0.0
22,109.75147598091442,108.58241271972726,0.0,0.0
23,108.58241271973277,6.335376667720993e-12,0.0,0.0
