HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,4434.890000149586,4434.553710937505,0.0,0.0,1645.7077249699078
1,4434.553710937461,4434.553710937506,0.0,0.0,1645.7077249699078
2,4434.56274320514,4434.553710937466,0.0,0.0,1645.7077249699078
3,4494.1609494733775,4448.431865985606,0.0,0.0,1645.7077249699078
4,5044.499855947659,4622.84715388372,0.0,0.0,1645.7077249699078
5,7396.610789331833,5029.442274827218,0.0,0.0,1645.7077249699078
6,11722.269099093253,5537.823913574221,0.0,0.0,1645.7077249699078
7,15688.38281437078,5954.992088904772,0.0,0.0,1645.7077249699078
8,18089.416356112284,6228.540494478666,0.0,0.0,1645.7077249699078
9,19190.72815642954,6347.159761868986,0.0,0.0,1645.7077249699078
10,19490.786106621148,6248.502206655655,0.0,0.0,1645.7077249699078
11,19506.954722671184,5867.4889808067965,0.0,0.0,1645.7077249699078
12,19365.625883022025,5396.513150728708,0.0,0.0,1645.7077249699078
13,18941.680246871987,4973.875103290275,0.0,0.0,1645.7077249699078
14,17885.03880058664,4676.52681321365,0.0,0.0,1645.7077249699078
15,15927.279815089174,4518.139836237983,0.0,0.0,1645.7077249699078
16,11970.230305989602,4461.184157151455,0.0,0.0,1645.7077249699078
17,7895.773652643074,4444.983628493095,0.0,0.0,1645.7077249699078
18,5619.828394396499,4440.676757812505,0.0,0.0,1645.7077249699078
19,4801.883328843325,4439.367919921874,0.0,0.0,1645.7077249699078
20,4623.054543447714,4438.390108548681,0.0,0.0,1645.7077249699078
21,4571.1996209740555,4437.291175255419,0.0,0.0,1645.7077249699078
22,4497.628099931173,4435.732543945319,0.0,0.0,1645.7077249699078
23,4444.269231920564,4434.713745117183,0.0,0.0,1645.7077249699078
