HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,18.43073587673253,17.70404791831972,0.0,0.0
1,19.077746950346327,17.704047918319937,0.0,0.0
2,28.072229670380565,17.70404791831929,0.0,0.0
3,48.39910665052041,17.750689965028727,0.0,0.0
4,78.94996302520599,18.140310727633107,0.0,0.0
5,118.05813578170732,19.24944307253931,0.0,0.0
6,167.14891251019978,21.157620796790635,0.0,0.0
7,241.31504424230303,23.654490911044142,0.0,0.0
8,381.79777246234045,26.531519853151742,0.0,0.0
9,497.51536104048745,29.24284571867758,0.0,0.0
10,531.9503852581148,32.1294785646294,0.0,0.0
11,534.570435330328,36.42840460630578,0.0,0.0
12,522.4935503261752,40.090064158806996,0.0,0.0
13,469.092008919551,40.769105104300074,0.0,0.0
14,408.2287446237606,39.46846470466047,0.0,0.0
15,363.073955024339,37.247074438975545,0.0,0.0
16,307.23220632268095,33.95788930012648,0.0,0.0
17,231.45929031079726,30.149967615421314,0.0,0.0
18,150.6748682365555,26.96690513537498,0.0,0.0
19,87.41374624551825,24.60441659047069,0.0,0.0
20,49.94804071009888,22.304494270911604,0.0,0.0
21,34.10147232845003,19.95300892683211,0.0,0.0
22,26.792260334410017,18.35188707938577,0.0,0.0
23,21.118774019439915,-0.6577852824907113,0.0,0.0
