HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,32.98133110543283,32.73583984375004,0.0,0.0
1,32.75668796816988,32.73583984374994,0.0,0.0
2,32.7577933095878,32.736308464636984,0.0,0.0
3,32.8955279529331,32.74383805348334,0.0,0.0
4,33.40368501802052,32.7894196877113,0.0,0.0
5,34.2412264739871,32.93643966087923,0.0,0.0
6,35.307322827336584,33.21430873870847,0.0,0.0
7,36.66036830916702,33.56049031477717,0.0,0.0
8,38.17454888354762,33.91642423776483,0.0,0.0
9,39.41227634473756,34.18135389914876,0.0,0.0
10,40.01337429938179,34.355754925654495,0.0,0.0
11,40.16824070429885,34.433047441335844,0.0,0.0
12,40.17796315452595,34.438551939450996,0.0,0.0
13,40.15245145308093,34.424842430995085,0.0,0.0
14,40.074707542799224,34.37037332241353,0.0,0.0
15,39.878551687774,34.211639330937324,0.0,0.0
16,39.61691857115079,33.9748266293453,0.0,0.0
17,39.34854023666671,33.74475948627176,0.0,0.0
18,39.01803444171755,33.532142052283646,0.0,0.0
19,38.41509429522373,33.32226100334754,0.0,0.0
20,37.45778160533706,33.140931092775816,0.0,0.0
21,36.245427712626906,32.95702494107759,0.0,0.0
22,34.92684335818239,32.80877032646763,0.0,0.0
23,33.76911641263445,-0.2368087172680604,0.0,0.0
