HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
1,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
2,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
3,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
4,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
5,-949.1058118365863,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
6,1871.2754146938478,18.55604736500186,-9.294648384283732e-15,-3.685420024712727e-15
7,-213.0087210154893,-513.8678396757728,-9.294648384283732e-15,-3.685420024712727e-15
8,11.47402125193662,14.995057667170158,-9.294648384283732e-15,-3.685420024712727e-15
9,324.2142609567511,-417.2168662346187,-9.294648384283732e-15,-3.685420024712727e-15
10,287.0594137318212,501.42738705741397,-9.294648384283732e-15,-3.685420024712727e-15
11,-56.12508351794031,-211.88889822644546,-9.294648384283732e-15,-3.685420024712727e-15
12,438.3863441156832,282.30157287768134,-9.294648384283732e-15,-3.685420024712727e-15
13,1179.1966148553163,40.85166140882575,-9.294648384283732e-15,-3.685420024712727e-15
14,112.9418377394095,227.12783640324437,-9.294648384283732e-15,-3.685420024712727e-15
15,-258.60294979501737,459.4806575786006,-9.294648384283732e-15,-3.685420024712727e-15
16,-493.0749335769274,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
17,-301.78654719723704,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
18,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
19,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
20,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
21,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
22,1520.3222560612303,1520.3222560612303,-9.294648384283732e-15,-3.685420024712727e-15
23,1520.3222560612303,0.0,-9.294648384283732e-15,-3.685420024712727e-15
