HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1985.4040527343768,1985.4040527343702,0.0,0.0
1,1985.4040527343748,1985.4040527343748,0.0,0.0
2,1985.4040527343768,1985.4040527343711,0.0,0.0
3,1985.404052734376,1985.4040527343755,0.0,0.0
4,1985.4040527343723,1985.4040527343732,0.0,0.0
5,1373.9281239710554,1375.0639511988716,0.0,0.0
6,1679.1089361120087,1620.5252921626243,0.0,0.0
7,1555.9261997767849,1569.6180555555566,0.0,0.0
8,1985.4040527343768,1985.4040527343768,0.0,0.0
9,1985.4040527343768,1985.4040527343768,0.0,0.0
10,1985.4040527343768,1985.4040527343768,0.0,0.0
11,1985.4040527343768,1985.4040527343768,0.0,0.0
12,1985.4040527343768,1985.4040527343768,0.0,0.0
13,1985.4040527343768,1985.4040527343768,0.0,0.0
14,1985.4040527343768,1985.4040527343768,0.0,0.0
15,1985.4040527343768,1985.4040527343768,0.0,0.0
16,482.44512939453216,482.4451293945308,0.0,0.0
17,941.052064391386,935.8406219482408,0.0,0.0
18,1331.3194704603861,1355.5103175823501,0.0,0.0
19,1950.6611022364589,1967.9657641190752,0.0,0.0
20,1985.4040527343732,1985.4040527343723,0.0,0.0
21,1985.404052734376,1985.4040527343745,0.0,0.0
22,1985.4040527343711,1985.4040527343732,0.0,0.0
23,1985.4040527343748,-3.301223452701337e-12,0.0,0.0
