HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,748.3241577148353,748.3241577148444,0.0,0.0
1,748.3241577148387,748.3241577148444,0.0,0.0
2,748.3241577148366,748.3241577148395,0.0,0.0
3,748.3383690845193,748.3249065692645,0.0,0.0
4,748.5255278956374,748.3393073448772,0.0,0.0
5,754.3875561710469,748.531495901254,0.0,0.0
6,780.3824893177044,749.5174812903757,0.0,0.0
7,821.6757082884311,752.008003234866,0.0,0.0
8,857.0176997276072,754.9021788377033,0.0,0.0
9,873.0692594681616,756.6110663780784,0.0,0.0
10,876.1539928684737,756.8077938373267,0.0,0.0
11,875.4827338324629,755.7498996441176,0.0,0.0
12,872.6620247208726,753.7504407442578,0.0,0.0
13,865.3281577391624,751.449718768781,0.0,0.0
14,852.3684584811223,749.5296261127171,0.0,0.0
15,828.1667241940544,748.5856863168565,0.0,0.0
16,792.4552766646495,748.3722763061536,0.0,0.0
17,761.2982703899503,748.3294759897085,0.0,0.0
18,749.3385989601996,748.3241577148424,0.0,0.0
19,748.3859449364606,748.3241577148443,0.0,0.0
20,748.3241577148482,748.3241577148443,0.0,0.0
21,748.3241577148469,748.3241577148436,0.0,0.0
22,748.3241577148438,748.3241577148422,0.0,0.0
23,748.3241577148509,7.368328169832239e-12,0.0,0.0
