HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,4380.325195312469,4380.325195312502,0.0,0.0
1,4380.325195312494,4380.325195312499,0.0,0.0
2,4380.3251953124745,4380.325195312488,0.0,0.0
3,4380.325195312556,4380.3251953125055,0.0,0.0
4,4499.775336371521,4500.234759990986,0.0,0.0
5,3134.50153312828,3137.2150576664835,0.0,0.0
6,2128.620526894836,2027.4798808464661,0.0,0.0
7,646.6200014896262,631.6158074599152,0.0,0.0
8,215.00999450683412,215.00999450683867,0.0,0.0
9,215.00999450682957,215.0099945068414,0.0,0.0
10,215.00999450683685,215.0099945068414,0.0,0.0
11,215.0099945068332,215.00999450684048,0.0,0.0
12,215.0099945068332,215.00999450684776,0.0,0.0
13,215.00999450683412,215.00999450684503,0.0,0.0
14,215.0099945068232,215.00999450684048,0.0,0.0
15,215.00999450683503,215.00999450684048,0.0,0.0
16,272.21111721463876,272.43112153273614,0.0,0.0
17,1413.5973907119978,1401.147102355962,0.0,0.0
18,2638.7785651546674,2697.6974405142014,0.0,0.0
19,4352.6606706056355,4394.002015040473,0.0,0.0
20,4435.662597656262,4435.66259765625,0.0,0.0
21,4404.919596354174,4404.801354041469,0.0,0.0
22,4380.325195312508,4380.325195312499,0.0,0.0
23,4380.325195312522,2.751221472863108e-11,0.0,0.0
