HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,739.6764463227256,740.4977569580086,0.0,0.0
1,731.0712301319987,731.9731057973997,0.0,0.0
2,742.8300131143645,743.4150684063195,0.0,0.0
3,813.537376666915,811.4159393310591,0.0,0.0
4,889.7948341808082,881.4283036452075,0.0,0.0
5,933.7613085750341,921.515768197864,0.0,0.0
6,1069.9841778634984,1051.582536550667,0.0,0.0
7,1235.7997810685267,1204.0668018047654,0.0,0.0
8,1335.8936989736703,1303.791416461651,0.0,0.0
9,1390.510832454047,1373.8346170278671,0.0,0.0
10,1415.075792568393,1411.652141864483,0.0,0.0
11,1423.1327783577249,1425.4348977895884,0.0,0.0
12,1424.0721089447097,1427.8899946946417,0.0,0.0
13,1424.0721089447115,1428.0459524301382,0.0,0.0
14,1424.0721089447075,1424.335921067457,0.0,0.0
15,1424.0721089447118,1399.0722844050479,0.0,0.0
16,1336.0423032095646,1266.1525432880117,0.0,0.0
17,1241.61910882124,1126.917578477125,0.0,0.0
18,1178.641454937808,1052.0054338895343,0.0,0.0
19,1089.4027274997661,999.3256166898286,0.0,0.0
20,1001.1277617823639,962.7836514986482,0.0,0.0
21,935.3711133935029,927.5423002976634,0.0,0.0
22,875.5929331578523,875.3345413207998,0.0,0.0
23,793.0102202316916,53.78175457214312,0.0,0.0
