HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2358.230105345232,2391.0534433218168,0.0,0.0
1,2358.2301053452534,2391.0534433218163,0.0,0.0
2,2365.4609384353603,2391.053443321797,0.0,0.0
3,2440.9851294039977,2391.0534433218313,0.0,0.0
4,2750.413266938296,2391.053443321818,0.0,0.0
5,4098.767976607363,2391.0534433218118,0.0,0.0
6,7056.818248061972,2391.053443321815,0.0,0.0
7,10142.485538643421,2391.053443321828,0.0,0.0
8,12519.812558930478,2391.0534433218145,0.0,0.0
9,13558.776867628987,2391.0534433218168,0.0,0.0
10,13768.603017054274,2391.053443321818,0.0,0.0
11,13687.817911316131,2391.0534433218168,0.0,0.0
12,13263.41807725693,2391.0534433218363,0.0,0.0
13,12208.889203184859,2391.0534433218227,0.0,0.0
14,10443.90435674087,2391.0534433218177,0.0,0.0
15,8238.634134226817,2391.0534433218168,0.0,0.0
16,6365.727091003665,2391.0534433218213,0.0,0.0
17,4865.49579161428,2391.0534433218195,0.0,0.0
18,3606.126147741531,2391.0534433218163,0.0,0.0
19,2831.1651994843655,2391.0534433218163,0.0,0.0
20,2445.348491098708,2391.053443321816,0.0,0.0
21,2358.2301053453025,2391.053443321819,0.0,0.0
22,2358.2301053452907,2391.0534433218154,0.0,0.0
23,2365.1683719094626,15.410957464636397,0.0,0.0
