HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,1060.9189126092942,1028.1592988094048,0.0,-510.0763059515924
1,1042.264934302824,952.5268811517947,0.0,-510.0763059515924
2,1051.4111151610957,994.7902004279512,0.0,-510.0763059515924
3,1080.3993950399188,940.8406633646813,0.0,-510.0763059515924
4,1568.5101087935382,1434.2950174257571,0.0,-510.0763059515924
5,1876.3773309235053,1671.7075949118635,0.0,-510.0763059515924
6,2244.2419221370355,2081.5339259119896,0.0,-510.0763059515924
7,2824.355158252351,2493.878880293769,0.0,-510.0763059515924
8,3107.210192084205,2648.552310762812,0.0,-510.0763059515924
9,3133.9506438268863,2605.0219216319665,0.0,-510.0763059515924
10,3287.103016882288,2615.2076119301105,0.0,-510.0763059515924
11,3375.97246169126,2610.8035411913042,0.0,-510.0763059515924
12,3427.167805079909,2569.2084793983477,0.0,-510.0763059515924
13,3421.6623078685316,2547.320664285063,0.0,-510.0763059515924
14,3440.612723043265,2521.4083226540088,0.0,-510.0763059515924
15,3288.693755477778,2532.9846906229577,0.0,-510.0763059515924
16,2790.106143434904,2003.1900750302257,0.0,-510.0763059515924
17,2162.5755641021724,1601.5763618002318,0.0,-510.0763059515924
18,1535.1276903845228,982.0831124665447,0.0,-510.0763059515924
19,1269.894731238972,952.4017091161791,0.0,-510.0763059515924
20,1130.9320151270613,1003.6050166888823,0.0,-510.0763059515924
21,1007.1266452600328,935.1759884210591,0.0,-510.0763059515924
22,959.0466079641924,993.2570773292887,0.0,-510.0763059515924
23,897.4507780807279,35.246272339725834,0.0,-510.0763059515924
