HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,277.02951049804227,300.5415529104384,0.0,0.0
1,274.4135005556283,393.69684366079423,0.0,0.0
2,285.96959771049956,491.4304304856497,0.0,0.0
3,360.82659608103944,531.1656737694391,0.0,0.0
4,464.80853540413153,542.6048698425291,0.0,0.0
5,525.2402188238937,548.2542404761671,0.0,0.0
6,548.0327356565191,550.9027178837698,0.0,0.0
7,555.6071992486816,551.4243560204154,0.0,0.0
8,557.1680245235034,551.5738757206841,0.0,0.0
9,557.2926194932696,551.6398177513704,0.0,0.0
10,557.2926194932712,551.6480616056003,0.0,0.0
11,557.2926194932709,551.6480616056003,0.0,0.0
12,557.2926194932711,551.6480616056024,0.0,0.0
13,557.2926194932711,550.9339907719543,0.0,0.0
14,557.2926194932695,545.9933181175818,0.0,0.0
15,557.2926194932711,527.6323074927695,0.0,0.0
16,557.289681387132,461.1454106844394,0.0,0.0
17,557.2083065573735,393.28837820199817,0.0,0.0
18,537.8703289397347,329.7985646174503,0.0,0.0
19,426.0583270427328,285.51659833467926,0.0,0.0
20,333.180779935759,277.78771239060666,0.0,0.0
21,372.6331158049733,276.227821350098,0.0,0.0
22,366.4666357515421,274.6519258939302,0.0,0.0
23,301.6655883789103,-0.8087959289507687,0.0,0.0
