HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,475.8534645157125,476.51907906983007,-20.289752240890476,-84.80145470975887
1,562.8012700729001,525.4088029188506,-20.289752240890476,-84.80145470975887
2,591.2856585979263,552.2381783082939,-20.289752240890476,-84.80145470975887
3,667.7405707767783,633.8284454615633,-20.289752240890476,-84.80145470975887
4,716.0665491947591,682.8592680981676,-20.289752240890476,-84.80145470975887
5,2347.3934776174397,751.6380065901618,-20.289752240890476,-84.80145470975887
6,3948.074202098472,1027.4651643493517,-20.289752240890476,-84.80145470975887
7,4841.479715481754,1140.8968196947453,-20.289752240890476,-84.80145470975887
8,5612.235139229429,953.0097327023574,-20.289752240890476,-84.80145470975887
9,5682.637786769931,836.958248043035,-20.289752240890476,-84.80145470975887
10,5869.71066339434,782.4508519891231,-20.289752240890476,-84.80145470975887
11,5902.126262885564,706.246491860912,-20.289752240890476,-84.80145470975887
12,5996.905750776729,592.0177039039669,-20.289752240890476,-84.80145470975887
13,6055.691355679372,617.7478406506768,-20.289752240890476,-84.80145470975887
14,6012.471849047809,469.0701002321273,-20.289752240890476,-84.80145470975887
15,5662.659416490431,360.5451300221576,-20.289752240890476,-84.80145470975887
16,3443.265110279521,297.6803168935671,-20.289752240890476,-84.80145470975887
17,1983.7453797982598,179.33266936594072,-20.289752240890476,-84.80145470975887
18,695.5754636456259,181.2836705823721,-20.289752240890476,-84.80145470975887
19,193.86744273183325,304.05606502283996,-20.289752240890476,-84.80145470975887
20,256.83620547812825,372.974156110302,-20.289752240890476,-84.80145470975887
21,298.59127010528323,430.95029834751233,-20.289752240890476,-84.80145470975887
22,318.7282200391759,528.913611140049,-20.289752240890476,-84.80145470975887
23,385.66352575620647,91.065423023575,-20.289752240890476,-84.80145470975887
