HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2890.0979003906236,2890.097900390629,0.0,0.0
1,2890.097900390622,2890.097900390623,0.0,0.0
2,2890.097900390629,2890.0979003906273,0.0,0.0
3,2890.097900390628,2890.0979003906227,0.0,0.0
4,2890.0979003906264,2890.0979003906236,0.0,0.0
5,2746.2314763592867,2744.548828124999,0.0,0.0
6,2337.5876871744767,2340.2821754632982,0.0,0.0
7,1670.0088986766546,1674.699245876734,0.0,0.0
8,2890.0979003906236,2890.0979003906236,0.0,0.0
9,2890.0979003906236,2890.0979003906236,0.0,0.0
10,2890.0979003906236,2890.0979003906236,0.0,0.0
11,2890.0979003906236,2890.0979003906236,0.0,0.0
12,2890.0979003906236,2890.0979003906236,0.0,0.0
13,2890.0979003906236,2890.0979003906236,0.0,0.0
14,2890.0979003906236,2890.0979003906236,0.0,0.0
15,2890.0979003906236,2890.0979003906236,0.0,0.0
16,2890.0979003906236,2890.0979003906236,0.0,0.0
17,1247.7937428261991,1242.052519298734,0.0,0.0
18,2382.0196449016703,2418.1386789175226,0.0,0.0
19,3542.1088899926663,3565.518990149861,0.0,0.0
20,3589.1098632812445,3589.109863281251,0.0,0.0
21,3200.76988389757,3199.2762685922457,0.0,0.0
22,2890.0979003906227,2890.097900390625,0.0,0.0
23,2890.0979003906236,-1.5631940186722204e-12,0.0,0.0
