HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,41192.21747784911,41215.0647536058,0.0,0.0
1,41095.04718929574,41111.804837740325,0.0,0.0
2,41077.9204232515,41092.95654296851,0.0,0.0
3,41196.09225335355,41212.60077373814,0.0,0.0
4,42666.27625119723,42685.00334284856,0.0,0.0
5,43429.900637571525,43438.435396634515,0.0,0.0
6,43557.290199953706,43570.558593749935,0.0,0.0
7,43445.43724556974,43439.74188701935,0.0,0.0
8,44959.08964918567,44965.92153695917,0.0,0.0
9,46550.150547772704,46557.32767427875,0.0,0.0
10,47357.21182052189,47366.90621243989,0.0,0.0
11,49342.775802202865,49359.830641526445,0.0,0.0
12,50809.589619252714,50822.14719801709,0.0,0.0
13,52451.18130387919,52467.97581129807,0.0,0.0
14,53553.36286218838,53562.563626802854,0.0,0.0
15,52215.57739164257,52216.71920072114,0.0,0.0
16,51090.297683189856,51093.22216796881,0.0,0.0
17,49287.04700969819,49276.318810096105,0.0,0.0
18,47651.81407147961,47643.387770432644,0.0,0.0
19,47073.64087942969,47067.355431189906,0.0,0.0
20,45397.57676305102,45395.806603064935,0.0,0.0
21,44142.098718869885,44154.79492187496,0.0,0.0
22,42624.12727490423,42638.21878756003,0.0,0.0
23,41373.86399964124,198.86094763162555,0.0,0.0
