HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,377.2722194861545,383.8704927884616,0.0,0.0
1,310.8414638709247,312.1311980027428,0.0,0.0
2,294.64883422850755,294.6488342285112,0.0,0.0
3,335.00809475838395,338.2297413165793,0.0,0.0
4,612.75168443,634.7079902062042,0.0,0.0
5,971.0567369716762,1015.3139859713015,0.0,0.0
6,1224.1343624656045,1279.2371920072098,0.0,0.0
7,1241.2456152904963,1297.959648719203,0.0,0.0
8,1084.0587013215372,1138.6884284386263,0.0,0.0
9,1010.4996976304267,1062.0691663301882,0.0,0.0
10,985.3635604682979,1034.938896766076,0.0,0.0
11,979.0362778002232,1028.1030543400695,0.0,0.0
12,957.3639949637779,1006.2645269540676,0.0,0.0
13,948.5345856531342,998.1278545673078,0.0,0.0
14,965.9673611578751,1016.9567020122815,0.0,0.0
15,994.5581503681722,1045.2047518216648,0.0,0.0
16,1016.1492658008581,1063.9767221304091,0.0,0.0
17,1271.273541096068,1330.0805171086224,0.0,0.0
18,1492.400120760741,1562.5677419809183,0.0,0.0
19,1445.3507290544107,1518.309017474834,0.0,0.0
20,1287.0854239628266,1356.881684523362,0.0,0.0
21,959.5632665641499,1008.1396959744957,0.0,0.0
22,640.8539003101816,665.565231323241,0.0,0.0
23,475.60072250659493,112.06006969606781,0.0,0.0
